IDS_PROPSKILL_TXT_000000	重击
IDS_PROPSKILL_TXT_000418	绝对障壁
IDS_PROPSKILL_TXT_000419	只有在多人战时，可以在 5分钟内形成保护自己防御 40伤害的保护膜。该防护膜无法作用在怪物身上。
IDS_PROPSKILL_TXT_000420	咒缚术
IDS_PROPSKILL_TXT_000421	让对方在一定时间内无法移动。
IDS_PROPSKILL_TXT_000422	坚韧之光
IDS_PROPSKILL_TXT_000423	只有在有队伍的情况下可以使用，在施展时间内可以让周围队伍成员的魔法攻击力提升。
IDS_PROPSKILL_TXT_000424	勇猛之光
IDS_PROPSKILL_TXT_000425	只有在有队伍的情况下可以使用，在施展时间内可以让周围队伍成员的攻击力提升。
IDS_PROPSKILL_TXT_000426	神速之光
IDS_PROPSKILL_TXT_000427	只有在有队伍的情况下可以使用，在施展时间内可以让队伍成员的攻击速度提升。
IDS_PROPSKILL_TXT_000428	狂暴之光
IDS_PROPSKILL_TXT_000429	只有在有队伍的情况下可以使用，在施展时间内可以让队伍成员的致命打击率提升。
IDS_PROPSKILL_TXT_000430	黑暗之啸
IDS_PROPSKILL_TXT_000431	让对方在一定时间内持续受到伤害。
IDS_PROPSKILL_TXT_000432	黑暗侵袭
IDS_PROPSKILL_TXT_000433	让对方受到重重的伤害。
IDS_PROPSKILL_TXT_000434	力量封印
IDS_PROPSKILL_TXT_000435	让被选择的对象之攻击力减少。
IDS_PROPSKILL_TXT_000436	防御封印
IDS_PROPSKILL_TXT_000437	让被选择的对象之防御力减少。
IDS_PROPSKILL_TXT_000438	缓速术
IDS_PROPSKILL_TXT_000439	让被选择的对象之攻击速度减少。
IDS_PROPSKILL_TXT_000440	雷霆之怒
IDS_PROPSKILL_TXT_000441	让施展者周围的所有人受到伤害。
IDS_PROPSKILL_TXT_000442	终极之刺
IDS_PROPSKILL_TXT_000443	利用元素所制作的枪射向敌人，使其受到伤害。
IDS_PROPSKILL_TXT_000444	生命球
IDS_PROPSKILL_TXT_000445	向对方投射凝聚的元素，使其受到伤害。
IDS_PROPSKILL_TXT_000446	催眠
IDS_PROPSKILL_TXT_000447	让对方沉睡数秒。
IDS_PROPSKILL_TXT_000448	暴风枷锁
IDS_PROPSKILL_TXT_000449	让单一对象无法移动。
IDS_PROPSKILL_TXT_000450	古文字磁石_西凯尔
IDS_PROPSKILL_TXT_000451	一定机率下一击击倒敌人。
IDS_PROPSKILL_TXT_000452	古文字磁石_贝勒克
IDS_PROPSKILL_TXT_000453	一定机率下恢复自己的 HP 100%。
IDS_PROPSKILL_TXT_000454	古文字磁石_柴那
IDS_PROPSKILL_TXT_000455	一定机率下恢复自己的 FP 100%。
IDS_PROPSKILL_TXT_000456	古文字磁石_马那兹
IDS_PROPSKILL_TXT_000457	一定机率下恢复自己的 MP 100%。
IDS_PROPSKILL_TXT_000458	古文字磁石_唉欧
IDS_PROPSKILL_TXT_000459	一定机率下让敌人中毒。
IDS_PROPSKILL_TXT_000460	古文字磁石_迪勒
IDS_PROPSKILL_TXT_000461	一定机率下让对方受伤。
