IDS_PROPSKILL_TXT_000000	Frappe pure
IDS_PROPSKILL_TXT_000368	Pas Légers
IDS_PROPSKILL_TXT_000369	Votre vitesse augmente.
IDS_PROPSKILL_TXT_000370	Vivacité
IDS_PROPSKILL_TXT_000371	La vitesse d'attaque de la cible augmente.
IDS_PROPSKILL_TXT_000372	Boost d'endurance
IDS_PROPSKILL_TXT_000373	L'endurance de la cible augmente.
IDS_PROPSKILL_TXT_000374	Precision
IDS_PROPSKILL_TXT_000375	Le score de toucher de la cible augmente.
IDS_PROPSKILL_TXT_000376	Attraction
IDS_PROPSKILL_TXT_000377	Attire la cible à vous
IDS_PROPSKILL_TXT_000378	Châtiment divin
IDS_PROPSKILL_TXT_000379	Inflige de lourds dommages à la cible
IDS_PROPSKILL_TXT_000380	Coup de Bouclier
IDS_PROPSKILL_TXT_000381	Frappe la cible avec le bouclier, l'étourdissant pour quelques instants
IDS_PROPSKILL_TXT_000382	Provocation
IDS_PROPSKILL_TXT_000383	Tente d'attirer l'attention de la cible
IDS_PROPSKILL_TXT_000384	Armure Divine
IDS_PROPSKILL_TXT_000385	Augmente la Défense pendant 5 minutes
IDS_PROPSKILL_TXT_000386	Tacle
IDS_PROPSKILL_TXT_000387	Inflige des dommages à tous les ennemis autour du Templier
IDS_PROPSKILL_TXT_000388	Croix de Sang
IDS_PROPSKILL_TXT_000389	Inflige de lourds dommages à la cible
IDS_PROPSKILL_TXT_000390	Poussière de Diamant
IDS_PROPSKILL_TXT_000391	Inflige des dégâts à de nombreuses cibles autour du Spadassin
IDS_PROPSKILL_TXT_000392	Berserker
IDS_PROPSKILL_TXT_000393	Augmente l'attaque pendant 5 minutes
IDS_PROPSKILL_TXT_000394	Vent de folie 
IDS_PROPSKILL_TXT_000395	Inflige de lourds dommages à la cible
IDS_PROPSKILL_TXT_000396	Grâce aérienne 
IDS_PROPSKILL_TXT_000397	Augmente le blocage en mêlée pendant 5 minutes
IDS_PROPSKILL_TXT_000398	Précision éclair
IDS_PROPSKILL_TXT_000399	Augmente les chances de toucher pendant 5 minutes
IDS_PROPSKILL_TXT_000400	Coup en traitre
IDS_PROPSKILL_TXT_000401	Attaque la cible par derrière
IDS_PROPSKILL_TXT_000402	Tir Groupé 
IDS_PROPSKILL_TXT_000403	Inflige des dégâts à tous les ennemis autour de la cible de l'Arbalétrier.
IDS_PROPSKILL_TXT_000404	Tension 
IDS_PROPSKILL_TXT_000405	Augmente l'attaque pendant 5 minutes
IDS_PROPSKILL_TXT_000406	Flèches Téléguidées 
IDS_PROPSKILL_TXT_000407	Augmente les chances de toucher pendant 5 minutes
IDS_PROPSKILL_TXT_000408	Œil du Faucon 
IDS_PROPSKILL_TXT_000409	Augmente la portée de l'arbalète
IDS_PROPSKILL_TXT_000410	Soin Actif
IDS_PROPSKILL_TXT_000411	Remonte les PV du groupe de manière périodique
IDS_PROPSKILL_TXT_000412	Vélocité
IDS_PROPSKILL_TXT_000413	Augmente la vitesse de déplacement des membres du groupe pendant 5 minutes
IDS_PROPSKILL_TXT_000414	Endurance Divine 
IDS_PROPSKILL_TXT_000415	Augmente les PV des membres du groupe pendant 5 minutes
IDS_PROPSKILL_TXT_000416	Protection Divine 
IDS_PROPSKILL_TXT_000417	Augmente la DEF des membres du groupe pendant 5 minutes
IDS_PROPSKILL_TXT_000418	Dernier Recours 
IDS_PROPSKILL_TXT_000419	Protège le Primat de tous les dégâts pendant 5 minutes
IDS_PROPSKILL_TXT_000420	Empêtrement 
IDS_PROPSKILL_TXT_000421	Immobilise la cible pendant quelques secondes
IDS_PROPSKILL_TXT_000422	Infusion de puissance 
IDS_PROPSKILL_TXT_000423	Augmente la puissance des sorts des membres du groupe pendant 5 minutes
IDS_PROPSKILL_TXT_000424	Coalition
IDS_PROPSKILL_TXT_000425	Augmente l'attaque des membres du groupe pendant 5 minutes
IDS_PROPSKILL_TXT_000426	Vitesse Divine
IDS_PROPSKILL_TXT_000427	Augmente la vitesse d'attaque des membres du groupe de 20% pendant 5 minutes
IDS_PROPSKILL_TXT_000428	Frénésie 
IDS_PROPSKILL_TXT_000429	Augmente le taux de coups critiques des membres du groupe pendant 5 minutes
IDS_PROPSKILL_TXT_000430	Damnation 
IDS_PROPSKILL_TXT_000431	Inflige des dégâts à la cible de manière périodique
IDS_PROPSKILL_TXT_000432	Sombre pari
IDS_PROPSKILL_TXT_000433	Inflige de lourds dommages à la cible
IDS_PROPSKILL_TXT_000434	Langueur 
IDS_PROPSKILL_TXT_000435	Diminue l'attaque de la cible
IDS_PROPSKILL_TXT_000436	Déchéance
IDS_PROPSKILL_TXT_000437	Diminue la DEF de la cible
IDS_PROPSKILL_TXT_000438	Engourdissement
IDS_PROPSKILL_TXT_000439	Diminue la vitesse d'attaque de la cible
IDS_PROPSKILL_TXT_000440	Électrocution 
IDS_PROPSKILL_TXT_000441	Inflige des dégâts de foudre à toutes les cibles autour de l'Arcaniste
IDS_PROPSKILL_TXT_000442	Lance de l‘esprit 
IDS_PROPSKILL_TXT_000443	Projette une lance de magie pure sur la cible
IDS_PROPSKILL_TXT_000444	Sphère Céleste
IDS_PROPSKILL_TXT_000445	Une sphère qui contient la furie des arcanes et inflige des dégâts à la cible
IDS_PROPSKILL_TXT_000446	Coma
IDS_PROPSKILL_TXT_000447	Endort la cible pour quelques secondes
IDS_PROPSKILL_TXT_000448	Pesanteur
IDS_PROPSKILL_TXT_000449	Empêche la cible de se déplacer pendant quelques secondes
IDS_PROPSKILL_TXT_000450	Rune du néant
IDS_PROPSKILL_TXT_000451	Lorsque cette rune est gravée sur votre objet baruna, vous avez une chance de tuer votre ennemi d'un seul coup en attaquant.
IDS_PROPSKILL_TXT_000452	Rune de jouvence
IDS_PROPSKILL_TXT_000453	Lorsque cette rune est gravée sur votre objet baruna, vous avez une chance de récupérer 100% de vos PV en attaquant.
IDS_PROPSKILL_TXT_000454	Rune de second souffle
IDS_PROPSKILL_TXT_000455	Lorsque cette rune est gravée sur votre objet baruna, vous avez une chance de récupérer 100% de vos PF en attaquant.
IDS_PROPSKILL_TXT_000456	Rune de mémoire eidétique
IDS_PROPSKILL_TXT_000457	Lorsque cette rune est gravée sur votre objet baruna, vous avez une chance de récupérer 100% de vos PM en attaquant.
IDS_PROPSKILL_TXT_000458	Rune de perfidie
IDS_PROPSKILL_TXT_000459	Lorsque cette rune est gravée sur votre objet baruna, vous avez une chance d'empoisonner votre adversaire en attaquant.
IDS_PROPSKILL_TXT_000460	Rune de traitrise
IDS_PROPSKILL_TXT_000461	Lorsque cette rune est gravée sur votre objet baruna, vous avez une chance de causer une hémorragie à votre adversaire en attaquant.
