IDS_PROPSKILL_TXT_000000	Clean Hit
IDS_PROPSKILL_TXT_000439	Decrease attack speed of selected target for up to 25 seconds, this spell does not aggro the target.  The duration is determined by the Skill Level.
IDS_PROPSKILL_TXT_000440	EVA Storm
IDS_PROPSKILL_TXT_000441	Calls down a lighting storm to shock any and all near by enemies. 
IDS_PROPSKILL_TXT_000442	Spectral Javelin
IDS_PROPSKILL_TXT_000443	Harness the elements around you and form them into a Javelin.  Once the Javelin is formed, you will launch the Javelin at your enemy.
IDS_PROPSKILL_TXT_000444	Astral Moon
IDS_PROPSKILL_TXT_000445	Harness the elements around you and form them into a Sphere.  Once the Sphere is formed, you will launch the Sphere at your enemy.
IDS_PROPSKILL_TXT_000446	Echoes of the Weary
IDS_PROPSKILL_TXT_000447	Force your target into a Coma.  The duration of this Coma will vary depending on the level of the Skill.
IDS_PROPSKILL_TXT_000448	First Blood
IDS_PROPSKILL_TXT_000449	A ranged insult that has a chance to immobilize your target. 
IDS_PROPSKILL_TXT_000450	Antiquity Stone_Sigel
IDS_PROPSKILL_TXT_000451	Kill enemy with one hit in certain rate
IDS_PROPSKILL_TXT_000452	Antiquity Stone_Berk
IDS_PROPSKILL_TXT_000453	Recover 100% HP by certain rate
IDS_PROPSKILL_TXT_000454	Antiquity Stone_Zera
IDS_PROPSKILL_TXT_000455	Recover 100% FP by certain rate
IDS_PROPSKILL_TXT_000456	Antiquity Stone_Manaz
IDS_PROPSKILL_TXT_000457	Recover 100% MP by certain rate
IDS_PROPSKILL_TXT_000458	Antiquity Stone_Aeo
IDS_PROPSKILL_TXT_000459	Poison enemy with certain rate
IDS_PROPSKILL_TXT_000460	Antiquity Stone_Tir
IDS_PROPSKILL_TXT_000461	Give bleeding damage to enemy with certain rate
