IDS_PROPSKILL_TXT_000000	ｸﾘｰﾝﾋｯﾄ
IDS_PROPSKILL_TXT_000299	一定時間の間、指定地域を火の海にし、全ての敵に継続的に火属性のダメージを与える
IDS_PROPSKILL_TXT_000300	ﾎﾟｲｽﾞﾝ
IDS_PROPSKILL_TXT_000301	一定時間の間、毒による継続的なダメージを与える
IDS_PROPSKILL_TXT_000302	ｽﾀﾝ
IDS_PROPSKILL_TXT_000303	一定時間の間、スタン状態にする
IDS_PROPSKILL_TXT_000304	ﾌﾞﾘｰﾃﾞｨﾝｸﾞ
IDS_PROPSKILL_TXT_000305	一定時間の間、出血による継続的なダメージを与える
IDS_PROPSKILL_TXT_000306	ｽﾃｨｰﾙﾗｲﾌ
IDS_PROPSKILL_TXT_000307	対象のヒットポイントを吸収する
IDS_PROPSKILL_TXT_000308	ｿｰﾄﾞｸﾛｽ
IDS_PROPSKILL_TXT_000309	
IDS_PROPSKILL_TXT_000310	ﾎﾟｲｽﾞﾝｽﾃｨﾝｸﾞ
IDS_PROPSKILL_TXT_000311	一定時間の間、毒による継続的なダメージを与える
IDS_PROPSKILL_TXT_000312	ﾌﾞﾘｰﾃﾞｨﾝｸﾞ
IDS_PROPSKILL_TXT_000313	一定時間の間、出血による継続的なダメージを与える
IDS_PROPSKILL_TXT_000314	ﾛｳﾃｯｸ
IDS_PROPSKILL_TXT_000315	攻撃速度とキャスティング速度が低下される
IDS_PROPSKILL_TXT_000316	ﾛｳﾃｯｸ
IDS_PROPSKILL_TXT_000317	攻撃速度とキャスティング速度が低下される
IDS_PROPSKILL_TXT_000318	ｽﾀﾝｸﾞﾙｰﾌﾟ
IDS_PROPSKILL_TXT_000319	複数の対象を動けなくします。
IDS_PROPSKILL_TXT_000320	ポイズンブレス
IDS_PROPSKILL_TXT_000321	一定時間の間、毒による継続的なダメージを与える
IDS_PROPSKILL_TXT_000322	ｽﾀﾝｸﾞﾙｰﾌﾟ
IDS_PROPSKILL_TXT_000323	複数の対象を動けなくします。
IDS_PROPSKILL_TXT_000324	ﾌﾗﾝｼﾞﾎﾟｲｽﾞﾝﾏｯｼｭ
IDS_PROPSKILL_TXT_000325	攻撃力と攻撃速度が増加する
IDS_PROPSKILL_TXT_000326	ﾊﾞｰｸﾌﾟﾛﾃｸｼｮﾝ
IDS_PROPSKILL_TXT_000327	堅い樹皮で全身を包み、物理攻撃力を減少させる
IDS_PROPSKILL_TXT_000328	ｽｷﾙﾌﾞﾚｰｶ
IDS_PROPSKILL_TXT_000329	使用すると、ターゲットされた相手の補助スキルの1つが除去されます。
IDS_PROPSKILL_TXT_000330	ｽｷﾙﾌﾞﾚｰｶX
IDS_PROPSKILL_TXT_000331	使用すると、ターゲットされた相手の補助スキル全てが除去されます。
IDS_PROPSKILL_TXT_000332	ﾄｸﾞﾙﾊﾞｰﾌ
IDS_PROPSKILL_TXT_000333	
IDS_PROPSKILL_TXT_000334	ハイガード
IDS_PROPSKILL_TXT_000335	移動することができなくなる代わりに、防御力が飛躍的にアップします。
IDS_PROPSKILL_TXT_000336	ドローイング
IDS_PROPSKILL_TXT_000337	対象を自分の目の前に召還します。召還後はターゲットは外れます。
IDS_PROPSKILL_TXT_000338	サイレンス
IDS_PROPSKILL_TXT_000339	相手の魔法スキルの発動を封じます。
IDS_PROPSKILL_TXT_000340	ホークアイ
IDS_PROPSKILL_TXT_000341	弓や弓を使ったスキルの射程距離が増加します。
IDS_PROPSKILL_TXT_000342	カーズマインド
IDS_PROPSKILL_TXT_000343	対象の魔法防御力を50％下げます。
IDS_PROPSKILL_TXT_000344	ストーンスペル
IDS_PROPSKILL_TXT_000345	相手の一切の行動を封じます。
IDS_PROPSKILL_TXT_000346	ディスペルマジック
IDS_PROPSKILL_TXT_000347	相手の全ての補助スキルを解除します。
IDS_PROPSKILL_TXT_000348	クイックリターン
IDS_PROPSKILL_TXT_000349	近くの町へ瞬時に移動します。
IDS_PROPSKILL_TXT_000350	バーンブレス
IDS_PROPSKILL_TXT_000351	一定時間、強力な炎によるダメージを与えます。
IDS_PROPSKILL_TXT_000352	スペシャル片手マスタリー
IDS_PROPSKILL_TXT_000353	片手武器を装備していると攻撃力が上昇します。　
IDS_PROPSKILL_TXT_000354	スペシャル両手マスタリー
IDS_PROPSKILL_TXT_000355	両手武器を装備していると攻撃力が上昇します。　
IDS_PROPSKILL_TXT_000356	スペシャルヨーヨーマスタリー
IDS_PROPSKILL_TXT_000357	ヨーヨーを装備していると攻撃力が上昇します。
IDS_PROPSKILL_TXT_000358	スペシャルボウマスタリー
IDS_PROPSKILL_TXT_000359	ボウを装備していると攻撃力が上昇します。
IDS_PROPSKILL_TXT_000360	スペシャル知能マスタリー
IDS_PROPSKILL_TXT_000361	自分の知能を上昇させます。
IDS_PROPSKILL_TXT_000362	スペシャル知能マスタリー
IDS_PROPSKILL_TXT_000363	自分の知能を上昇させます。
IDS_PROPSKILL_TXT_000364	スペシャルナックルマスタリー
IDS_PROPSKILL_TXT_000365	ナックルを装備していると攻撃力が上昇します。
IDS_PROPSKILL_TXT_000366	スターライトキュアー
IDS_PROPSKILL_TXT_000367	一定確率で劇団員の状態異常を回復します。
IDS_PROPSKILL_TXT_000368	 クイックステップ(イベント用)
IDS_PROPSKILL_TXT_000369	 一定時間、対象の移動速度を上昇させます
IDS_PROPSKILL_TXT_000370	 ヘイスト(イベント用)
IDS_PROPSKILL_TXT_000371	 一定時間、対象の攻撃速度を上昇させます
IDS_PROPSKILL_TXT_000372	 ヒップアップ(イベント用)
IDS_PROPSKILL_TXT_000373	 一定時間、対象の持久力を高め、体力を上昇させます
IDS_PROPSKILL_TXT_000374	 アキュラシー(イベント用)
IDS_PROPSKILL_TXT_000375	 一定時間、対象の動体視力を高めることで命中率を上昇させます
IDS_PROPSKILL_TXT_000376	誘導
IDS_PROPSKILL_TXT_000377	対象を自分の元へおびき寄せ敵対心を上昇させる。スキル対象の敵のみに効果がある。
IDS_PROPSKILL_TXT_000378	グランドレイジ
IDS_PROPSKILL_TXT_000379	対象に大ダメージを与える。
IDS_PROPSKILL_TXT_000380	シールドストライク
IDS_PROPSKILL_TXT_000381	対象を盾で突き飛ばし、一定確率でスタン状態にする。
IDS_PROPSKILL_TXT_000382	挑発
IDS_PROPSKILL_TXT_000383	対象を挑発して敵対心を上昇させる。スキル対象の敵のみに効果がある。
IDS_PROPSKILL_TXT_000384	ホーリーアーマー
IDS_PROPSKILL_TXT_000385	使用者の防御力を5分間大幅に上昇する。
IDS_PROPSKILL_TXT_000386	スコープストライク
IDS_PROPSKILL_TXT_000387	使用者周辺のすべての敵にダメージを与える。
IDS_PROPSKILL_TXT_000388	クロスオブブラッド
IDS_PROPSKILL_TXT_000389	対象に大ダメージを与える。
IDS_PROPSKILL_TXT_000390	ストームブラスト
IDS_PROPSKILL_TXT_000391	使用者周辺の全ての敵にダメージを与える。
IDS_PROPSKILL_TXT_000392	アタック・インクリース
IDS_PROPSKILL_TXT_000393	使用者の攻撃力を5分間大幅に上昇する。
IDS_PROPSKILL_TXT_000394	マッドハリケーン
IDS_PROPSKILL_TXT_000395	対象に大ダメージを与える。
IDS_PROPSKILL_TXT_000396	イベイジョン・インクリース
IDS_PROPSKILL_TXT_000397	使用者のブロック率を5分間上昇する。
IDS_PROPSKILL_TXT_000398	コントロール・インクリース
IDS_PROPSKILL_TXT_000399	使用者の命中率を5分間上昇する。
IDS_PROPSKILL_TXT_000400	バックステップⅡ
IDS_PROPSKILL_TXT_000401	相手の後ろに瞬間移動して不意打ちする。
IDS_PROPSKILL_TXT_000402	レンジストライク
IDS_PROPSKILL_TXT_000403	対象者周辺の全ての敵にダメージを与える。
IDS_PROPSKILL_TXT_000404	アタック・インクリース
IDS_PROPSKILL_TXT_000405	使用者の攻撃力を5分間大幅に上昇する。
IDS_PROPSKILL_TXT_000406	コントロール・インクリース
IDS_PROPSKILL_TXT_000407	使用者の命中率を5分間上昇する。
IDS_PROPSKILL_TXT_000408	ホークアイ
IDS_PROPSKILL_TXT_000409	弓や弓を使ったスキルの射程距離が増加します。
IDS_PROPSKILL_TXT_000410	リジェネレーション
IDS_PROPSKILL_TXT_000411	HPを持続的に回復させる。劇団を組んでいる時のみ使用可能。
IDS_PROPSKILL_TXT_000412	ブレスドステップ
IDS_PROPSKILL_TXT_000413	移動速度を1分間上昇する。劇団を組んでいる時のみ使用可能。
IDS_PROPSKILL_TXT_000414	ブレスドボディ
IDS_PROPSKILL_TXT_000415	最大HPを1分間上昇させる。劇団を組んでいる時のみ使用可能。
IDS_PROPSKILL_TXT_000416	ブレスドアーマー
IDS_PROPSKILL_TXT_000417	物理防御力を1分間上昇させる。劇団を組んでいる時のみ使用可能。
IDS_PROPSKILL_TXT_000418	アブソリュートバリア
IDS_PROPSKILL_TXT_000419	対人戦闘時のみ、5分間で20万ダメージを防ぐバリアを形成する。このバリアはモンスターには適用されない。
IDS_PROPSKILL_TXT_000420	足かせ
IDS_PROPSKILL_TXT_000421	対象を一定時間移動できないようにする。
IDS_PROPSKILL_TXT_000422	オーロラオブエナジー
IDS_PROPSKILL_TXT_000423	使用者と周囲の魔法攻撃力を上昇する。
IDS_PROPSKILL_TXT_000424	オーロラオブレイジ
IDS_PROPSKILL_TXT_000425	使用者と周囲の攻撃力を上昇する。
IDS_PROPSKILL_TXT_000426	オーロラオブスピード
IDS_PROPSKILL_TXT_000427	使用者と周囲の攻撃速度を上昇する。
IDS_PROPSKILL_TXT_000428	オーロラオブマッド
IDS_PROPSKILL_TXT_000429	使用者と周囲のクリティカル率を上昇する。
IDS_PROPSKILL_TXT_000430	ダークネススクリーム
IDS_PROPSKILL_TXT_000431	対象に一定時間、持続ダメージを与える。
IDS_PROPSKILL_TXT_000432	ダークネスレイク
IDS_PROPSKILL_TXT_000433	対象に大ダメージを与える。
IDS_PROPSKILL_TXT_000434	アタック・ディクリース
IDS_PROPSKILL_TXT_000435	対象の攻撃力を減少する。
IDS_PROPSKILL_TXT_000436	ディフェンス・ディクリース
IDS_PROPSKILL_TXT_000437	対象の防御力を減少する。
IDS_PROPSKILL_TXT_000438	スピード・ディクリース
IDS_PROPSKILL_TXT_000439	対象の攻撃速度を減少する。
IDS_PROPSKILL_TXT_000440	サンダーヴォルト
IDS_PROPSKILL_TXT_000441	使用者周辺の全ての敵にダメージを与える。
IDS_PROPSKILL_TXT_000442	ファイナルスピア
IDS_PROPSKILL_TXT_000443	元素の針を形成し敵にダメージを与える。
IDS_PROPSKILL_TXT_000444	コズミックエレメント
IDS_PROPSKILL_TXT_000445	元素を結合し、敵にダメージを与える。
IDS_PROPSKILL_TXT_000446	スリープ
IDS_PROPSKILL_TXT_000447	対象を眠らせる。
IDS_PROPSKILL_TXT_000448	ホールド
IDS_PROPSKILL_TXT_000449	対象を移動できなくする。
IDS_PROPSKILL_TXT_000450	古代のルーン（即死）
IDS_PROPSKILL_TXT_000451	一定の確率で一撃で敵の息の根を止める。
IDS_PROPSKILL_TXT_000452	古代のルーン（HP)
IDS_PROPSKILL_TXT_000453	一定の確率で自分のHPを100%回復する。
IDS_PROPSKILL_TXT_000454	古代のルーン（FP)
IDS_PROPSKILL_TXT_000455	一定の確率で自分のFPを100%回復する。
IDS_PROPSKILL_TXT_000456	古代のルーン（MP)
IDS_PROPSKILL_TXT_000457	一定の確率で自分のMPを100%回復する。
IDS_PROPSKILL_TXT_000458	古代のルーン（壊疽）
IDS_PROPSKILL_TXT_000459	一定の確率で敵に毒の効果を与える。
IDS_PROPSKILL_TXT_000460	古代のルーン（スリップ）
IDS_PROPSKILL_TXT_000461	一定の確率で敵にスリップダメージを与える。
