IDS_PROPITEM_TXT_000000	標準
IDS_PROPITEM_TXT_003193	
IDS_PROPITEM_TXT_003194	
IDS_PROPITEM_TXT_003195	
IDS_PROPITEM_TXT_003196	ビーグル・ブーツ(F)
IDS_PROPITEM_TXT_003197	
IDS_PROPITEM_TXT_003198	
IDS_PROPITEM_TXT_003199	
IDS_PROPITEM_TXT_003200	ネプチューン・ブーツ(F)
IDS_PROPITEM_TXT_003201	
IDS_PROPITEM_TXT_003202	
IDS_PROPITEM_TXT_003203	
IDS_PROPITEM_TXT_003204	コーン・ブーツ(F)
IDS_PROPITEM_TXT_003205	
IDS_PROPITEM_TXT_003206	
IDS_PROPITEM_TXT_003207	
IDS_PROPITEM_TXT_003208	ホッダー・ブーツ(F)
IDS_PROPITEM_TXT_003209	
IDS_PROPITEM_TXT_003210	
IDS_PROPITEM_TXT_003211	
IDS_PROPITEM_TXT_003212	ケイム・ブーツ(F)
IDS_PROPITEM_TXT_003213	
IDS_PROPITEM_TXT_003214	
IDS_PROPITEM_TXT_003215	
IDS_PROPITEM_TXT_003216	ルキプス・ブーツ(F)
IDS_PROPITEM_TXT_003217	
IDS_PROPITEM_TXT_003218	
IDS_PROPITEM_TXT_003219	
IDS_PROPITEM_TXT_003220	ゴッドチャント・ブーツ(F)
IDS_PROPITEM_TXT_003221	
IDS_PROPITEM_TXT_003222	
IDS_PROPITEM_TXT_003223	
IDS_PROPITEM_TXT_003224	レバント・ブーツ(F)
IDS_PROPITEM_TXT_003225	
IDS_PROPITEM_TXT_003226	
IDS_PROPITEM_TXT_003227	
IDS_PROPITEM_TXT_003228	グリッキィ・ブーツ(F)
IDS_PROPITEM_TXT_003229	
IDS_PROPITEM_TXT_003230	
IDS_PROPITEM_TXT_003231	
IDS_PROPITEM_TXT_003232	ダークバイン・ブーツ(F)
IDS_PROPITEM_TXT_003233	
IDS_PROPITEM_TXT_003234	
IDS_PROPITEM_TXT_003235	
IDS_PROPITEM_TXT_003236	ニフェンダー・ブーツ(F)
IDS_PROPITEM_TXT_003237	
IDS_PROPITEM_TXT_003238	
IDS_PROPITEM_TXT_003239	
IDS_PROPITEM_TXT_003240	サラマンダー・ブーツ(F)
IDS_PROPITEM_TXT_003241	
IDS_PROPITEM_TXT_003242	
IDS_PROPITEM_TXT_003243	
IDS_PROPITEM_TXT_003244	フエドム・ブーツ(F)
IDS_PROPITEM_TXT_003245	
IDS_PROPITEM_TXT_003246	
IDS_PROPITEM_TXT_003247	
IDS_PROPITEM_TXT_003248	ラーボン・ブーツ(F)
IDS_PROPITEM_TXT_003249	
IDS_PROPITEM_TXT_003250	
IDS_PROPITEM_TXT_003251	
IDS_PROPITEM_TXT_003252	シナー･ブーツ(M)
IDS_PROPITEM_TXT_003253	
IDS_PROPITEM_TXT_003254	
IDS_PROPITEM_TXT_003255	
IDS_PROPITEM_TXT_003256	ヴァイレット・ブーツ(M)
IDS_PROPITEM_TXT_003257	
IDS_PROPITEM_TXT_003258	
IDS_PROPITEM_TXT_003259	
IDS_PROPITEM_TXT_003260	フィリンド･ブーツ(M)
IDS_PROPITEM_TXT_003261	
IDS_PROPITEM_TXT_003262	
IDS_PROPITEM_TXT_003263	
IDS_PROPITEM_TXT_003264	フェザーティン・ブーツ(M)
IDS_PROPITEM_TXT_003265	
IDS_PROPITEM_TXT_003266	
IDS_PROPITEM_TXT_003267	
IDS_PROPITEM_TXT_003268	レッドブル・ブーツ(M)
IDS_PROPITEM_TXT_003269	
IDS_PROPITEM_TXT_003270	
IDS_PROPITEM_TXT_003271	
IDS_PROPITEM_TXT_003272	トプルレック・ブーツ(M)
IDS_PROPITEM_TXT_003273	
IDS_PROPITEM_TXT_003274	
IDS_PROPITEM_TXT_003275	
IDS_PROPITEM_TXT_003276	シルブン・ブーツ(M)
IDS_PROPITEM_TXT_003277	
IDS_PROPITEM_TXT_003278	
IDS_PROPITEM_TXT_003279	
IDS_PROPITEM_TXT_003280	ヘネン・ブーツ(M)
IDS_PROPITEM_TXT_003281	
IDS_PROPITEM_TXT_003282	
IDS_PROPITEM_TXT_003283	
IDS_PROPITEM_TXT_003284	ロカイ・ブーツ(M)
IDS_PROPITEM_TXT_003285	
IDS_PROPITEM_TXT_003286	
IDS_PROPITEM_TXT_003287	
IDS_PROPITEM_TXT_003288	スパコン・ブーツ(M)
IDS_PROPITEM_TXT_003289	
IDS_PROPITEM_TXT_003290	
IDS_PROPITEM_TXT_003291	
IDS_PROPITEM_TXT_003292	紅い流星の靴(M)
IDS_PROPITEM_TXT_003293	
IDS_PROPITEM_TXT_003294	
IDS_PROPITEM_TXT_003295	
IDS_PROPITEM_TXT_003296	シャイラン・ブーツ(M)
IDS_PROPITEM_TXT_003297	
IDS_PROPITEM_TXT_003298	
IDS_PROPITEM_TXT_003299	
IDS_PROPITEM_TXT_003300	グランティス・ブーツ(M)
IDS_PROPITEM_TXT_003301	
IDS_PROPITEM_TXT_003302	
IDS_PROPITEM_TXT_003303	
IDS_PROPITEM_TXT_003304	ゲイラー・ブーツ(M)
IDS_PROPITEM_TXT_003305	
IDS_PROPITEM_TXT_003306	
IDS_PROPITEM_TXT_003307	
IDS_PROPITEM_TXT_003308	ライシル・ブーツ(M)
IDS_PROPITEM_TXT_003309	
IDS_PROPITEM_TXT_003310	
IDS_PROPITEM_TXT_003311	
IDS_PROPITEM_TXT_003312	ワルキューレの靴(M)
IDS_PROPITEM_TXT_003313	
IDS_PROPITEM_TXT_003314	
IDS_PROPITEM_TXT_003315	
IDS_PROPITEM_TXT_003316	ブラント・ブーツ(M)
IDS_PROPITEM_TXT_003317	
IDS_PROPITEM_TXT_003318	
IDS_PROPITEM_TXT_003319	
IDS_PROPITEM_TXT_003320	シナー･ブーツ(F)
IDS_PROPITEM_TXT_003321	
IDS_PROPITEM_TXT_003322	
IDS_PROPITEM_TXT_003323	
IDS_PROPITEM_TXT_003324	ヴァイレット・ブーツ(F)
IDS_PROPITEM_TXT_003325	
IDS_PROPITEM_TXT_003326	
IDS_PROPITEM_TXT_003327	
IDS_PROPITEM_TXT_003328	フィリンド･ブーツ(F)
IDS_PROPITEM_TXT_003329	
IDS_PROPITEM_TXT_003330	
IDS_PROPITEM_TXT_003331	
IDS_PROPITEM_TXT_003332	フェザーティン・ブーツ(F)
IDS_PROPITEM_TXT_003333	
IDS_PROPITEM_TXT_003334	
IDS_PROPITEM_TXT_003335	
IDS_PROPITEM_TXT_003336	レッドブル・ブーツ(F)
IDS_PROPITEM_TXT_003337	
IDS_PROPITEM_TXT_003338	
IDS_PROPITEM_TXT_003339	
IDS_PROPITEM_TXT_003340	トプルレック・ブーツ(F)
IDS_PROPITEM_TXT_003341	
IDS_PROPITEM_TXT_003342	
IDS_PROPITEM_TXT_003343	
IDS_PROPITEM_TXT_003344	シルブン・ブーツ(F)
IDS_PROPITEM_TXT_003345	
IDS_PROPITEM_TXT_003346	
IDS_PROPITEM_TXT_003347	
IDS_PROPITEM_TXT_003348	ヘネン・ブーツ(F)
IDS_PROPITEM_TXT_003349	
IDS_PROPITEM_TXT_003350	
IDS_PROPITEM_TXT_003351	
IDS_PROPITEM_TXT_003352	ロカイ・ブーツ(F)
IDS_PROPITEM_TXT_003353	
IDS_PROPITEM_TXT_003354	
IDS_PROPITEM_TXT_003355	
IDS_PROPITEM_TXT_003356	スパコン・ブーツ(F)
IDS_PROPITEM_TXT_003357	
IDS_PROPITEM_TXT_003358	
IDS_PROPITEM_TXT_003359	
IDS_PROPITEM_TXT_003360	紅い流星の靴(F)
IDS_PROPITEM_TXT_003361	
IDS_PROPITEM_TXT_003362	
IDS_PROPITEM_TXT_003363	
IDS_PROPITEM_TXT_003364	シャイラン・ブーツ(F)
IDS_PROPITEM_TXT_003365	
IDS_PROPITEM_TXT_003366	
IDS_PROPITEM_TXT_003367	
IDS_PROPITEM_TXT_003368	グランティス・ブーツ(F)
IDS_PROPITEM_TXT_003369	
IDS_PROPITEM_TXT_003370	
IDS_PROPITEM_TXT_003371	
IDS_PROPITEM_TXT_003372	ゲイラー・ブーツ(F)
IDS_PROPITEM_TXT_003373	
IDS_PROPITEM_TXT_003374	
IDS_PROPITEM_TXT_003375	
IDS_PROPITEM_TXT_003376	ライシル・ブーツ(F)
IDS_PROPITEM_TXT_003377	
IDS_PROPITEM_TXT_003378	
IDS_PROPITEM_TXT_003379	
IDS_PROPITEM_TXT_003380	ワルキューレの靴(F)
IDS_PROPITEM_TXT_003381	
IDS_PROPITEM_TXT_003382	
IDS_PROPITEM_TXT_003383	
IDS_PROPITEM_TXT_003384	ブラント・ブーツ(F)
IDS_PROPITEM_TXT_003385	
IDS_PROPITEM_TXT_003386	
IDS_PROPITEM_TXT_003387	
IDS_PROPITEM_TXT_003388	ブレイズ・ブーツ(M)
IDS_PROPITEM_TXT_003389	
IDS_PROPITEM_TXT_003390	
IDS_PROPITEM_TXT_003391	
IDS_PROPITEM_TXT_003392	ゲイル・ブーツ(M)
IDS_PROPITEM_TXT_003393	
IDS_PROPITEM_TXT_003394	
IDS_PROPITEM_TXT_003395	
IDS_PROPITEM_TXT_003396	ストーム・ブーツ(M)
IDS_PROPITEM_TXT_003397	
IDS_PROPITEM_TXT_003398	
IDS_PROPITEM_TXT_003399	
IDS_PROPITEM_TXT_003400	クラウド・ブーツ(M)
IDS_PROPITEM_TXT_003401	
IDS_PROPITEM_TXT_003402	
IDS_PROPITEM_TXT_003403	
IDS_PROPITEM_TXT_003404	サタン・ブーツ(M)
IDS_PROPITEM_TXT_003405	
IDS_PROPITEM_TXT_003406	
IDS_PROPITEM_TXT_003407	
IDS_PROPITEM_TXT_003408	ベオク・ブーツ(M)
IDS_PROPITEM_TXT_003409	
IDS_PROPITEM_TXT_003410	
IDS_PROPITEM_TXT_003411	
IDS_PROPITEM_TXT_003412	ディアン・ブーツ(M)
IDS_PROPITEM_TXT_003413	
IDS_PROPITEM_TXT_003414	
IDS_PROPITEM_TXT_003415	
IDS_PROPITEM_TXT_003416	メックティ・ブーツ(M)
IDS_PROPITEM_TXT_003417	
IDS_PROPITEM_TXT_003418	
IDS_PROPITEM_TXT_003419	
IDS_PROPITEM_TXT_003420	ヘビー・ブーツ(M)
IDS_PROPITEM_TXT_003421	
IDS_PROPITEM_TXT_003422	
IDS_PROPITEM_TXT_003423	
IDS_PROPITEM_TXT_003424	フェリル・ブーツ(M)
IDS_PROPITEM_TXT_003425	
IDS_PROPITEM_TXT_003426	
IDS_PROPITEM_TXT_003427	
IDS_PROPITEM_TXT_003428	ローディアン・ブーツ(M)
IDS_PROPITEM_TXT_003429	
IDS_PROPITEM_TXT_003430	
IDS_PROPITEM_TXT_003431	
IDS_PROPITEM_TXT_003432	ベノーピ・ブーツ(M)
IDS_PROPITEM_TXT_003433	
IDS_PROPITEM_TXT_003434	
IDS_PROPITEM_TXT_003435	
IDS_PROPITEM_TXT_003436	オリエン・ブーツ(M)
IDS_PROPITEM_TXT_003437	
IDS_PROPITEM_TXT_003438	
IDS_PROPITEM_TXT_003439	
IDS_PROPITEM_TXT_003440	フェーズ・ブーツ(M)
IDS_PROPITEM_TXT_003441	
IDS_PROPITEM_TXT_003442	
IDS_PROPITEM_TXT_003443	
IDS_PROPITEM_TXT_003444	クーフォ・ブーツ(M)
IDS_PROPITEM_TXT_003445	
IDS_PROPITEM_TXT_003446	
IDS_PROPITEM_TXT_003447	
IDS_PROPITEM_TXT_003448	スナイック・ブーツ(M)
IDS_PROPITEM_TXT_003449	
IDS_PROPITEM_TXT_003450	
IDS_PROPITEM_TXT_003451	
IDS_PROPITEM_TXT_003452	ハーネイ・ブーツ(M)
IDS_PROPITEM_TXT_003453	
IDS_PROPITEM_TXT_003454	
IDS_PROPITEM_TXT_003455	
IDS_PROPITEM_TXT_003456	ブレイズ・ブーツ(F)
IDS_PROPITEM_TXT_003457	
IDS_PROPITEM_TXT_003458	
IDS_PROPITEM_TXT_003459	
IDS_PROPITEM_TXT_003460	ゲイル・ブーツ(F)
IDS_PROPITEM_TXT_003461	
IDS_PROPITEM_TXT_003462	
IDS_PROPITEM_TXT_003463	
IDS_PROPITEM_TXT_003464	ストーム・ブーツ(F)
IDS_PROPITEM_TXT_003465	
IDS_PROPITEM_TXT_003466	
IDS_PROPITEM_TXT_003467	
IDS_PROPITEM_TXT_003468	クラウド・ブーツ(F)
IDS_PROPITEM_TXT_003469	
IDS_PROPITEM_TXT_003470	
IDS_PROPITEM_TXT_003471	
IDS_PROPITEM_TXT_003472	サタン・ブーツ(F)
IDS_PROPITEM_TXT_003473	
IDS_PROPITEM_TXT_003474	
IDS_PROPITEM_TXT_003475	
IDS_PROPITEM_TXT_003476	ベオク・ブーツ(F)
IDS_PROPITEM_TXT_003477	
IDS_PROPITEM_TXT_003478	
IDS_PROPITEM_TXT_003479	
IDS_PROPITEM_TXT_003480	ディアン・ブーツ(F)
IDS_PROPITEM_TXT_003481	
IDS_PROPITEM_TXT_003482	
IDS_PROPITEM_TXT_003483	
IDS_PROPITEM_TXT_003484	メックティ・ブーツ(F)
IDS_PROPITEM_TXT_003485	
IDS_PROPITEM_TXT_003486	
IDS_PROPITEM_TXT_003487	
IDS_PROPITEM_TXT_003488	ヘビー・ブーツ(F)
IDS_PROPITEM_TXT_003489	
IDS_PROPITEM_TXT_003490	
IDS_PROPITEM_TXT_003491	
IDS_PROPITEM_TXT_003492	フェリル・ブーツ(F)
IDS_PROPITEM_TXT_003493	
IDS_PROPITEM_TXT_003494	
IDS_PROPITEM_TXT_003495	
IDS_PROPITEM_TXT_003496	ローディアン・ブーツ(F)
IDS_PROPITEM_TXT_003497	
IDS_PROPITEM_TXT_003498	
IDS_PROPITEM_TXT_003499	
IDS_PROPITEM_TXT_003500	ベノーピ・ブーツ(F)
IDS_PROPITEM_TXT_003501	
IDS_PROPITEM_TXT_003502	
IDS_PROPITEM_TXT_003503	
IDS_PROPITEM_TXT_003504	オリエン・ブーツ(F)
IDS_PROPITEM_TXT_003505	
IDS_PROPITEM_TXT_003506	
IDS_PROPITEM_TXT_003507	
IDS_PROPITEM_TXT_003508	フェーズ・ブーツ(F)
IDS_PROPITEM_TXT_003509	
IDS_PROPITEM_TXT_003510	
IDS_PROPITEM_TXT_003511	
IDS_PROPITEM_TXT_003512	クーフォ・ブーツ(F)
IDS_PROPITEM_TXT_003513	
IDS_PROPITEM_TXT_003514	
IDS_PROPITEM_TXT_003515	
IDS_PROPITEM_TXT_003516	スナイック・ブーツ(F)
IDS_PROPITEM_TXT_003517	
IDS_PROPITEM_TXT_003518	
IDS_PROPITEM_TXT_003519	
IDS_PROPITEM_TXT_003520	ハーネイ・ブーツ(F)
IDS_PROPITEM_TXT_003521	
IDS_PROPITEM_TXT_003522	
IDS_PROPITEM_TXT_003523	
IDS_PROPITEM_TXT_003524	ダイス・ブーツ(M)
IDS_PROPITEM_TXT_003525	
IDS_PROPITEM_TXT_003526	
IDS_PROPITEM_TXT_003527	
IDS_PROPITEM_TXT_003528	シャッフル・ブーツ(M)
IDS_PROPITEM_TXT_003529	
IDS_PROPITEM_TXT_003530	
IDS_PROPITEM_TXT_003531	
IDS_PROPITEM_TXT_003532	マーブル・ブーツ(M)
IDS_PROPITEM_TXT_003533	
IDS_PROPITEM_TXT_003534	
IDS_PROPITEM_TXT_003535	
IDS_PROPITEM_TXT_003536	ディッチ・ブーツ(M)
IDS_PROPITEM_TXT_003537	
IDS_PROPITEM_TXT_003538	
IDS_PROPITEM_TXT_003539	
IDS_PROPITEM_TXT_003540	月光の靴(M)
IDS_PROPITEM_TXT_003541	
IDS_PROPITEM_TXT_003542	
IDS_PROPITEM_TXT_003543	
IDS_PROPITEM_TXT_003544	蒼月の靴(M)
IDS_PROPITEM_TXT_003545	
IDS_PROPITEM_TXT_003546	
IDS_PROPITEM_TXT_003547	
IDS_PROPITEM_TXT_003548	リデューン・ブーツ(M)
IDS_PROPITEM_TXT_003549	
IDS_PROPITEM_TXT_003550	
IDS_PROPITEM_TXT_003551	
IDS_PROPITEM_TXT_003552	レンダイック・ブーツ(M)
IDS_PROPITEM_TXT_003553	
IDS_PROPITEM_TXT_003554	
IDS_PROPITEM_TXT_003555	
IDS_PROPITEM_TXT_003556	カーン・ブーツ(M)
IDS_PROPITEM_TXT_003557	
IDS_PROPITEM_TXT_003558	
IDS_PROPITEM_TXT_003559	
IDS_PROPITEM_TXT_003560	スカイフォン・ブーツ(M)
IDS_PROPITEM_TXT_003561	
IDS_PROPITEM_TXT_003562	
IDS_PROPITEM_TXT_003563	
IDS_PROPITEM_TXT_003564	ケイハーン・ブーツ(M)
IDS_PROPITEM_TXT_003565	
IDS_PROPITEM_TXT_003566	
IDS_PROPITEM_TXT_003567	
IDS_PROPITEM_TXT_003568	ヘルリエン・ブーツ(M)
IDS_PROPITEM_TXT_003569	
IDS_PROPITEM_TXT_003570	
IDS_PROPITEM_TXT_003571	
IDS_PROPITEM_TXT_003572	ユーオン・ブーツ(M)
IDS_PROPITEM_TXT_003573	
IDS_PROPITEM_TXT_003574	
IDS_PROPITEM_TXT_003575	
IDS_PROPITEM_TXT_003576	シュリーブ・ブーツ(M)
IDS_PROPITEM_TXT_003577	
IDS_PROPITEM_TXT_003578	
IDS_PROPITEM_TXT_003579	
IDS_PROPITEM_TXT_003580	ラーン・ブーツ(M)
IDS_PROPITEM_TXT_003581	
IDS_PROPITEM_TXT_003582	
IDS_PROPITEM_TXT_003583	
IDS_PROPITEM_TXT_003584	ヒューゼイン・ブーツ(M)
IDS_PROPITEM_TXT_003585	
IDS_PROPITEM_TXT_003586	
IDS_PROPITEM_TXT_003587	
IDS_PROPITEM_TXT_003588	ファハーン・ブーツ(M)
IDS_PROPITEM_TXT_003589	
IDS_PROPITEM_TXT_003590	
IDS_PROPITEM_TXT_003591	
IDS_PROPITEM_TXT_003592	ダイス・ブーツ(F)
IDS_PROPITEM_TXT_003593	
IDS_PROPITEM_TXT_003594	
IDS_PROPITEM_TXT_003595	
IDS_PROPITEM_TXT_003596	シャッフル・ブーツ(F)
IDS_PROPITEM_TXT_003597	
IDS_PROPITEM_TXT_003598	
IDS_PROPITEM_TXT_003599	
IDS_PROPITEM_TXT_003600	マーブル・ブーツ(F)
IDS_PROPITEM_TXT_003601	
IDS_PROPITEM_TXT_003602	
IDS_PROPITEM_TXT_003603	
IDS_PROPITEM_TXT_003604	ディッチ・ブーツ(F)
IDS_PROPITEM_TXT_003605	
IDS_PROPITEM_TXT_003606	
IDS_PROPITEM_TXT_003607	
IDS_PROPITEM_TXT_003608	月光の靴(F)
IDS_PROPITEM_TXT_003609	
IDS_PROPITEM_TXT_003610	
IDS_PROPITEM_TXT_003611	
IDS_PROPITEM_TXT_003612	蒼月の靴(F)
IDS_PROPITEM_TXT_003613	
IDS_PROPITEM_TXT_003614	
IDS_PROPITEM_TXT_003615	
IDS_PROPITEM_TXT_003616	リデューン・ブーツ(F)
IDS_PROPITEM_TXT_003617	
IDS_PROPITEM_TXT_003618	
IDS_PROPITEM_TXT_003619	
IDS_PROPITEM_TXT_003620	レンダイック・ブーツ(F)
IDS_PROPITEM_TXT_003621	
IDS_PROPITEM_TXT_003622	
IDS_PROPITEM_TXT_003623	
IDS_PROPITEM_TXT_003624	カーン・ブーツ(F)
IDS_PROPITEM_TXT_003625	
IDS_PROPITEM_TXT_003626	
IDS_PROPITEM_TXT_003627	
IDS_PROPITEM_TXT_003628	スカイフォン・ブーツ(F)
IDS_PROPITEM_TXT_003629	
IDS_PROPITEM_TXT_003630	
IDS_PROPITEM_TXT_003631	
IDS_PROPITEM_TXT_003632	ケイハーン・ブーツ(F)
IDS_PROPITEM_TXT_003633	
IDS_PROPITEM_TXT_003634	
IDS_PROPITEM_TXT_003635	
IDS_PROPITEM_TXT_003636	ヘルリエン・ブーツ(F)
IDS_PROPITEM_TXT_003637	
IDS_PROPITEM_TXT_003638	
IDS_PROPITEM_TXT_003639	
IDS_PROPITEM_TXT_003640	ユーオン・ブーツ(F)
IDS_PROPITEM_TXT_003641	
IDS_PROPITEM_TXT_003642	
IDS_PROPITEM_TXT_003643	
IDS_PROPITEM_TXT_003644	シュリーブ・ブーツ(F)
IDS_PROPITEM_TXT_003645	
IDS_PROPITEM_TXT_003646	
IDS_PROPITEM_TXT_003647	
IDS_PROPITEM_TXT_003648	ラーン・ブーツ(F)
IDS_PROPITEM_TXT_003649	
IDS_PROPITEM_TXT_003650	
IDS_PROPITEM_TXT_003651	
IDS_PROPITEM_TXT_003652	ヒューゼイン・ブーツ(F)
IDS_PROPITEM_TXT_003653	
IDS_PROPITEM_TXT_003654	
IDS_PROPITEM_TXT_003655	
IDS_PROPITEM_TXT_003656	ファハーン・ブーツ(F)
IDS_PROPITEM_TXT_003657	
IDS_PROPITEM_TXT_003658	シャミュトラ・ヘルメット(M)
IDS_PROPITEM_TXT_003659	
IDS_PROPITEM_TXT_003660	シャミュトラ・スーツ(M)
IDS_PROPITEM_TXT_003661	
IDS_PROPITEM_TXT_003662	シャミュトラ・ガントレット(M)
IDS_PROPITEM_TXT_003663	
IDS_PROPITEM_TXT_003664	シャミュトラ・ブーツ(M)
IDS_PROPITEM_TXT_003665	
IDS_PROPITEM_TXT_003666	ラッシュデイン・ヘルメット(M)
IDS_PROPITEM_TXT_003667	
IDS_PROPITEM_TXT_003668	ラッシュデイン・スーツ(M)
IDS_PROPITEM_TXT_003669	
IDS_PROPITEM_TXT_003670	ラッシュデイン・ガントレット(M)
IDS_PROPITEM_TXT_003671	
IDS_PROPITEM_TXT_003672	ラッシュデイン・ブーツ(M)
IDS_PROPITEM_TXT_003673	
IDS_PROPITEM_TXT_003674	フォージル・ヘルメット(M)
IDS_PROPITEM_TXT_003675	
IDS_PROPITEM_TXT_003676	フォージル・スーツ(M)
IDS_PROPITEM_TXT_003677	
IDS_PROPITEM_TXT_003678	フォージル・ガントレット(M)
IDS_PROPITEM_TXT_003679	
IDS_PROPITEM_TXT_003680	フォージル・ブーツ(M)
IDS_PROPITEM_TXT_003681	
IDS_PROPITEM_TXT_003682	シャミュトラ・ヘルメット(F)
IDS_PROPITEM_TXT_003683	
IDS_PROPITEM_TXT_003684	シャミュトラ・スーツ(F)
IDS_PROPITEM_TXT_003685	
IDS_PROPITEM_TXT_003686	シャミュトラ・ガントレット(F)
IDS_PROPITEM_TXT_003687	
IDS_PROPITEM_TXT_003688	シャミュトラ・ブーツ(F)
IDS_PROPITEM_TXT_003689	
IDS_PROPITEM_TXT_003690	ラッシュデイン・ヘルメット(F)
IDS_PROPITEM_TXT_003691	
IDS_PROPITEM_TXT_003692	ラッシュデイン・スーツ(F)
IDS_PROPITEM_TXT_003693	
IDS_PROPITEM_TXT_003694	ラッシュデイン・ガントレット(F)
IDS_PROPITEM_TXT_003695	
IDS_PROPITEM_TXT_003696	ラッシュデイン・ブーツ(F)
IDS_PROPITEM_TXT_003697	
IDS_PROPITEM_TXT_003698	フォージル・ヘルメット(F)
IDS_PROPITEM_TXT_003699	
IDS_PROPITEM_TXT_003700	フォージル・スーツ(F)
IDS_PROPITEM_TXT_003701	
IDS_PROPITEM_TXT_003702	フォージル・ガントレット(F)
IDS_PROPITEM_TXT_003703	
IDS_PROPITEM_TXT_003704	フォージル・ブーツ(F)
IDS_PROPITEM_TXT_003705	
IDS_PROPITEM_TXT_003706	ロレンド・ヘルメット(M)
IDS_PROPITEM_TXT_003707	
IDS_PROPITEM_TXT_003708	ロレンド・スーツ(M)
IDS_PROPITEM_TXT_003709	
IDS_PROPITEM_TXT_003710	ロレンド・ガントレット(M)
IDS_PROPITEM_TXT_003711	
IDS_PROPITEM_TXT_003712	ロレンド・ブーツ(M)
IDS_PROPITEM_TXT_003713	
IDS_PROPITEM_TXT_003714	ロレンド・ヘルメット(F)
IDS_PROPITEM_TXT_003715	
IDS_PROPITEM_TXT_003716	ロレンド・スーツ(F)
IDS_PROPITEM_TXT_003717	
IDS_PROPITEM_TXT_003718	ロレンド・ガントレット(F)
IDS_PROPITEM_TXT_003719	
IDS_PROPITEM_TXT_003720	ロレンド・ブーツ(F)
IDS_PROPITEM_TXT_003721	
IDS_PROPITEM_TXT_003722	ドレットラ・ソード
IDS_PROPITEM_TXT_003723	
IDS_PROPITEM_TXT_003724	テイトラ・アックス
IDS_PROPITEM_TXT_003725	
IDS_PROPITEM_TXT_003726	ヤクシャデイン・スティック
IDS_PROPITEM_TXT_003727	
IDS_PROPITEM_TXT_003728	クルリアル・ワンド
IDS_PROPITEM_TXT_003729	
IDS_PROPITEM_TXT_003730	シャメラル・スタッフ
IDS_PROPITEM_TXT_003731	
IDS_PROPITEM_TXT_003732	ヤカデイン・ナックル
IDS_PROPITEM_TXT_003733	
IDS_PROPITEM_TXT_003734	ウッド・シールド
IDS_PROPITEM_TXT_003735	
IDS_PROPITEM_TXT_003736	グリーン・シールド
IDS_PROPITEM_TXT_003737	
IDS_PROPITEM_TXT_003738	バックラー
IDS_PROPITEM_TXT_003739	
IDS_PROPITEM_TXT_003740	ラウンド・シールド
IDS_PROPITEM_TXT_003741	
IDS_PROPITEM_TXT_003742	ガード・シールド
IDS_PROPITEM_TXT_003743	
IDS_PROPITEM_TXT_003744	センチネル・シールド
IDS_PROPITEM_TXT_003745	
IDS_PROPITEM_TXT_003746	タートル・シールド
IDS_PROPITEM_TXT_003747	
IDS_PROPITEM_TXT_003748	スパークル・シールド
IDS_PROPITEM_TXT_003749	
IDS_PROPITEM_TXT_003750	スケイル・シールド
IDS_PROPITEM_TXT_003751	
IDS_PROPITEM_TXT_003752	シュレイン・シールド
IDS_PROPITEM_TXT_003753	
IDS_PROPITEM_TXT_003754	ナイン・シールド
IDS_PROPITEM_TXT_003755	
IDS_PROPITEM_TXT_003756	ジャイロ・シールド
IDS_PROPITEM_TXT_003757	
IDS_PROPITEM_TXT_003758	ドレイン・シールド
IDS_PROPITEM_TXT_003759	
IDS_PROPITEM_TXT_003760	ボルテックス・シールド
IDS_PROPITEM_TXT_003761	
IDS_PROPITEM_TXT_003762	クロス・シールド
IDS_PROPITEM_TXT_003763	
IDS_PROPITEM_TXT_003764	プラス・シールド
IDS_PROPITEM_TXT_003765	
IDS_PROPITEM_TXT_003766	タワー・シールド
IDS_PROPITEM_TXT_003767	
IDS_PROPITEM_TXT_003768	プレート・シールド
IDS_PROPITEM_TXT_003769	
IDS_PROPITEM_TXT_003770	ハート・シールド
IDS_PROPITEM_TXT_003771	
IDS_PROPITEM_TXT_003772	カイト・シールド
IDS_PROPITEM_TXT_003773	
IDS_PROPITEM_TXT_003774	スター・シールド
IDS_PROPITEM_TXT_003775	
IDS_PROPITEM_TXT_003776	アスター・シールド
IDS_PROPITEM_TXT_003777	
IDS_PROPITEM_TXT_003778	クレッセント・シールド
IDS_PROPITEM_TXT_003779	
IDS_PROPITEM_TXT_003780	コメット・シールド
IDS_PROPITEM_TXT_003781	
IDS_PROPITEM_TXT_003782	ルシード・シールド
IDS_PROPITEM_TXT_003783	
IDS_PROPITEM_TXT_003784	アイシクル・シールド
IDS_PROPITEM_TXT_003785	
IDS_PROPITEM_TXT_003786	ハイレン・シールド
IDS_PROPITEM_TXT_003787	
IDS_PROPITEM_TXT_003788	クワベル・シールド
IDS_PROPITEM_TXT_003789	
IDS_PROPITEM_TXT_003790	ルコアー・シールド
IDS_PROPITEM_TXT_003791	
IDS_PROPITEM_TXT_003792	トウェリン・シールド
IDS_PROPITEM_TXT_003793	
IDS_PROPITEM_TXT_003794	カターフ・シールド
IDS_PROPITEM_TXT_003795	
IDS_PROPITEM_TXT_003796	紫雷の盾
IDS_PROPITEM_TXT_003797	
IDS_PROPITEM_TXT_003798	
IDS_PROPITEM_TXT_003799	
IDS_PROPITEM_TXT_003800	狂炎の盾
IDS_PROPITEM_TXT_003801	
IDS_PROPITEM_TXT_003802	
