IDS_PROPMOVER_TXT_000000	標準
IDS_PROPMOVER_TXT_000560	スモール・ケルン
IDS_PROPMOVER_TXT_000561	
IDS_PROPMOVER_TXT_000562	ケルン
IDS_PROPMOVER_TXT_000563	
IDS_PROPMOVER_TXT_000564	キャプテン・ケルン
IDS_PROPMOVER_TXT_000565	
IDS_PROPMOVER_TXT_000566	ジャイアント・ケルン
IDS_PROPMOVER_TXT_000567	
IDS_PROPMOVER_TXT_000568	スモール・グラファン
IDS_PROPMOVER_TXT_000569	
IDS_PROPMOVER_TXT_000570	グラファン
IDS_PROPMOVER_TXT_000571	
IDS_PROPMOVER_TXT_000572	キャプテン・グラファン
IDS_PROPMOVER_TXT_000573	
IDS_PROPMOVER_TXT_000574	ジャイアント・グラファン
IDS_PROPMOVER_TXT_000575	
IDS_PROPMOVER_TXT_000576	スモール・ゴブーリン
IDS_PROPMOVER_TXT_000577	
IDS_PROPMOVER_TXT_000578	ゴブーリン
IDS_PROPMOVER_TXT_000579	
IDS_PROPMOVER_TXT_000580	キャプテン・ゴブーリン
IDS_PROPMOVER_TXT_000581	
IDS_PROPMOVER_TXT_000582	グレート・ゴブーリン
IDS_PROPMOVER_TXT_000583	
IDS_PROPMOVER_TXT_000584	ネオフェフェルン
IDS_PROPMOVER_TXT_000585	
IDS_PROPMOVER_TXT_000586	2クラス・ネオフェフェルン
IDS_PROPMOVER_TXT_000587	
IDS_PROPMOVER_TXT_000588	ジャイアント・ネオフェフェルン
IDS_PROPMOVER_TXT_000589	
IDS_PROPMOVER_TXT_000590	キャットニャング
IDS_PROPMOVER_TXT_000591	
IDS_PROPMOVER_TXT_000592	アングリー・キャットニャング
IDS_PROPMOVER_TXT_000593	
IDS_PROPMOVER_TXT_000594	ジャイアント・キャットニャング
IDS_PROPMOVER_TXT_000595	
IDS_PROPMOVER_TXT_000596	ヴァン改
IDS_PROPMOVER_TXT_000597	
IDS_PROPMOVER_TXT_000598	ボス・ヴァン改
IDS_PROPMOVER_TXT_000599	
IDS_PROPMOVER_TXT_000600	ジャイアント・ヴァン改
IDS_PROPMOVER_TXT_000601	
IDS_PROPMOVER_TXT_000602	ワームヴェデューク
IDS_PROPMOVER_TXT_000603	
IDS_PROPMOVER_TXT_000604	セラス・ウリエル
IDS_PROPMOVER_TXT_000605	
IDS_PROPMOVER_TXT_000606	ヴァイスヴェデューク
IDS_PROPMOVER_TXT_000607	
IDS_PROPMOVER_TXT_000608	ブレイズン・プケプケ
IDS_PROPMOVER_TXT_000609	
IDS_PROPMOVER_TXT_000610	ハートレス・ヴァン
IDS_PROPMOVER_TXT_000611	
IDS_PROPMOVER_TXT_000612	タフ・ロックマッスル
IDS_PROPMOVER_TXT_000613	
IDS_PROPMOVER_TXT_000614	スモール・アイバット
IDS_PROPMOVER_TXT_000615	
IDS_PROPMOVER_TXT_000616	帰ってきたカボチャ公爵
IDS_PROPMOVER_TXT_000617	
IDS_PROPMOVER_TXT_000618	チャッキー・デミアン
IDS_PROPMOVER_TXT_000619	
IDS_PROPMOVER_TXT_000620	プラチナ・キクン
IDS_PROPMOVER_TXT_000621	
IDS_PROPMOVER_TXT_000622	ウルトラ・マフリン
IDS_PROPMOVER_TXT_000623	
IDS_PROPMOVER_TXT_000624	インフォ・ファン
IDS_PROPMOVER_TXT_000625	
IDS_PROPMOVER_TXT_000626	ロシャ
IDS_PROPMOVER_TXT_000627	
IDS_PROPMOVER_TXT_000628	ボボク
IDS_PROPMOVER_TXT_000629	
IDS_PROPMOVER_TXT_000630	ジュリア
IDS_PROPMOVER_TXT_000631	
IDS_PROPMOVER_TXT_000632	ルイ
IDS_PROPMOVER_TXT_000633	
IDS_PROPMOVER_TXT_000634	マルシェ
IDS_PROPMOVER_TXT_000635	
IDS_PROPMOVER_TXT_000636	ブルック
IDS_PROPMOVER_TXT_000637	
IDS_PROPMOVER_TXT_000638	ティナ
IDS_PROPMOVER_TXT_000639	
IDS_PROPMOVER_TXT_000640	カリン
IDS_PROPMOVER_TXT_000641	
IDS_PROPMOVER_TXT_000642	マーティン
IDS_PROPMOVER_TXT_000643	
IDS_PROPMOVER_TXT_000644	ビル
IDS_PROPMOVER_TXT_000645	
IDS_PROPMOVER_TXT_000646	ドワーフ
IDS_PROPMOVER_TXT_000647	
IDS_PROPMOVER_TXT_000648	マスター・ドワーフ
IDS_PROPMOVER_TXT_000649	
IDS_PROPMOVER_TXT_000650	イブリス
IDS_PROPMOVER_TXT_000651	
IDS_PROPMOVER_TXT_000652	シェード
IDS_PROPMOVER_TXT_000653	
IDS_PROPMOVER_TXT_000654	リーン
IDS_PROPMOVER_TXT_000655	
IDS_PROPMOVER_TXT_000656	スティーマ
IDS_PROPMOVER_TXT_000657	
IDS_PROPMOVER_TXT_000658	ファチャム
IDS_PROPMOVER_TXT_000659	
IDS_PROPMOVER_TXT_000660	リーン
IDS_PROPMOVER_TXT_000661	
IDS_PROPMOVER_TXT_000662	ロッキー
IDS_PROPMOVER_TXT_000663	
IDS_PROPMOVER_TXT_000664	オリーン
IDS_PROPMOVER_TXT_000665	
IDS_PROPMOVER_TXT_000666	ヘブン
IDS_PROPMOVER_TXT_000667	
IDS_PROPMOVER_TXT_000668	シトレー
IDS_PROPMOVER_TXT_000669	
IDS_PROPMOVER_TXT_000670	ボルパー
IDS_PROPMOVER_TXT_000671	
IDS_PROPMOVER_TXT_000672	アルマーニ
IDS_PROPMOVER_TXT_000673	
IDS_PROPMOVER_TXT_000674	アチャベン
IDS_PROPMOVER_TXT_000675	
IDS_PROPMOVER_TXT_000676	エシルロフ
IDS_PROPMOVER_TXT_000677	
IDS_PROPMOVER_TXT_000678	リマイン
IDS_PROPMOVER_TXT_000679	
IDS_PROPMOVER_TXT_000680	アンノウン
IDS_PROPMOVER_TXT_000681	
IDS_PROPMOVER_TXT_000682	エージェント
IDS_PROPMOVER_TXT_000683	
IDS_PROPMOVER_TXT_000684	アンシミー
IDS_PROPMOVER_TXT_000685	
IDS_PROPMOVER_TXT_000686	ガーディアン
IDS_PROPMOVER_TXT_000687	
IDS_PROPMOVER_TXT_000688	町の警備長
IDS_PROPMOVER_TXT_000689	
IDS_PROPMOVER_TXT_000690	ダメージテスト
IDS_PROPMOVER_TXT_000691	
IDS_PROPMOVER_TXT_000692	ヴェネル・ガーディアン
IDS_PROPMOVER_TXT_000693	
IDS_PROPMOVER_TXT_000694	レン
IDS_PROPMOVER_TXT_000695	
IDS_PROPMOVER_TXT_000696	ルボ
IDS_PROPMOVER_TXT_000697	
IDS_PROPMOVER_TXT_000698	シシフ
IDS_PROPMOVER_TXT_000699	
IDS_PROPMOVER_TXT_000700	シュライチャー
IDS_PROPMOVER_TXT_000701	
IDS_PROPMOVER_TXT_000702	ババリ
IDS_PROPMOVER_TXT_000703	
IDS_PROPMOVER_TXT_000704	チャネル
IDS_PROPMOVER_TXT_000705	
IDS_PROPMOVER_TXT_000706	セイム
IDS_PROPMOVER_TXT_000707	
IDS_PROPMOVER_TXT_000708	赤いヴァン盗賊団員
IDS_PROPMOVER_TXT_000709	
IDS_PROPMOVER_TXT_000710	エメラドマンティス
IDS_PROPMOVER_TXT_000711	
IDS_PROPMOVER_TXT_000712	ネオ・ロードヴァン
IDS_PROPMOVER_TXT_000713	
IDS_PROPMOVER_TXT_000714	パープルシャドウ・マジシャン
IDS_PROPMOVER_TXT_000715	
IDS_PROPMOVER_TXT_000716	パープルシャドウ・リーダー
IDS_PROPMOVER_TXT_000717	
IDS_PROPMOVER_TXT_000718	パープルシャドウ・ボス
IDS_PROPMOVER_TXT_000719	
IDS_PROPMOVER_TXT_000720	赤いヴァン盗賊団のボス
IDS_PROPMOVER_TXT_000721	
IDS_PROPMOVER_TXT_000722	ロードヴァン
IDS_PROPMOVER_TXT_000723	
IDS_PROPMOVER_TXT_000724	オルガニガー
IDS_PROPMOVER_TXT_000725	
IDS_PROPMOVER_TXT_000726	ガンガード
IDS_PROPMOVER_TXT_000727	
IDS_PROPMOVER_TXT_000728	ハデュサ
IDS_PROPMOVER_TXT_000729	
IDS_PROPMOVER_TXT_000730	サンタクロース
IDS_PROPMOVER_TXT_000731	
IDS_PROPMOVER_TXT_000732	プリースト
IDS_PROPMOVER_TXT_000733	
IDS_PROPMOVER_TXT_000734	ガーディアンNPC
IDS_PROPMOVER_TXT_000735	
IDS_PROPMOVER_TXT_000736	カオガーディアンNPC
IDS_PROPMOVER_TXT_000737	
IDS_PROPMOVER_TXT_000738	犯罪フェフェルン
IDS_PROPMOVER_TXT_000739	
IDS_PROPMOVER_TXT_000740	犯罪ワッグサック
IDS_PROPMOVER_TXT_000741	
IDS_PROPMOVER_TXT_000742	犯罪カボチャ男爵
IDS_PROPMOVER_TXT_000743	
IDS_PROPMOVER_TXT_000744	犯罪ギックルボックス
IDS_PROPMOVER_TXT_000745	
IDS_PROPMOVER_TXT_000746	犯罪ホボー
IDS_PROPMOVER_TXT_000747	
IDS_PROPMOVER_TXT_000748	犯罪カードパペット
IDS_PROPMOVER_TXT_000749	
IDS_PROPMOVER_TXT_000750	犯罪バスキュー
IDS_PROPMOVER_TXT_000751	
IDS_PROPMOVER_TXT_000752	犯罪レイーナ
IDS_PROPMOVER_TXT_000753	
IDS_PROPMOVER_TXT_000754	犯罪スチールナイト
IDS_PROPMOVER_TXT_000755	
IDS_PROPMOVER_TXT_000756	犯罪ボルト
IDS_PROPMOVER_TXT_000757	
IDS_PROPMOVER_TXT_000758	犯罪ガーベイジパイダー
IDS_PROPMOVER_TXT_000759	
IDS_PROPMOVER_TXT_000760	犯罪グリーモン
IDS_PROPMOVER_TXT_000761	
IDS_PROPMOVER_TXT_000762	犯罪ホップル
IDS_PROPMOVER_TXT_000763	
IDS_PROPMOVER_TXT_000764	犯罪アイレン
IDS_PROPMOVER_TXT_000765	
IDS_PROPMOVER_TXT_000766	犯罪ワタングカ
IDS_PROPMOVER_TXT_000767	
IDS_PROPMOVER_TXT_000768	犯罪ルイア
IDS_PROPMOVER_TXT_000769	
IDS_PROPMOVER_TXT_000770	犯罪シューハンマー
IDS_PROPMOVER_TXT_000771	
IDS_PROPMOVER_TXT_000772	犯罪グラファン
IDS_PROPMOVER_TXT_000773	
IDS_PROPMOVER_TXT_000774	キクン労働者
IDS_PROPMOVER_TXT_000775	
IDS_PROPMOVER_TXT_000776	キクン警備
IDS_PROPMOVER_TXT_000777	
IDS_PROPMOVER_TXT_000778	キクン作業長
IDS_PROPMOVER_TXT_000779	
IDS_PROPMOVER_TXT_000780	キクン警備長
IDS_PROPMOVER_TXT_000781	
IDS_PROPMOVER_TXT_000782	エリートキクン労働者
IDS_PROPMOVER_TXT_000783	
IDS_PROPMOVER_TXT_000784	エリートキクン警備
IDS_PROPMOVER_TXT_000785	
IDS_PROPMOVER_TXT_000786	エリートキクン作業長
IDS_PROPMOVER_TXT_000787	
IDS_PROPMOVER_TXT_000788	エリートキクン族長
IDS_PROPMOVER_TXT_000789	
IDS_PROPMOVER_TXT_000790	ゲリラキクン労働者
IDS_PROPMOVER_TXT_000791	
IDS_PROPMOVER_TXT_000792	ゲリラキクン警備
IDS_PROPMOVER_TXT_000793	
IDS_PROPMOVER_TXT_000794	ゲリラキクン作業長
IDS_PROPMOVER_TXT_000795	
IDS_PROPMOVER_TXT_000796	ビエイ
IDS_PROPMOVER_TXT_000797	
IDS_PROPMOVER_TXT_000798	ピンクロチフル
IDS_PROPMOVER_TXT_000799	
IDS_PROPMOVER_TXT_000800	ブルーロチフル
IDS_PROPMOVER_TXT_000801	
IDS_PROPMOVER_TXT_000802	ピンクロチクイーン
IDS_PROPMOVER_TXT_000803	
IDS_PROPMOVER_TXT_000804	ブルーロチクイーン
IDS_PROPMOVER_TXT_000805	
IDS_PROPMOVER_TXT_000806	ピンクロチフル虫
IDS_PROPMOVER_TXT_000807	
IDS_PROPMOVER_TXT_000808	ブルーロチフル虫
IDS_PROPMOVER_TXT_000809	
IDS_PROPMOVER_TXT_000810	グリーントリルピ
IDS_PROPMOVER_TXT_000811	
IDS_PROPMOVER_TXT_000812	へジャードグリーントリルピ
IDS_PROPMOVER_TXT_000813	
IDS_PROPMOVER_TXT_000814	バイオレットトリルピ
IDS_PROPMOVER_TXT_000815	
IDS_PROPMOVER_TXT_000816	へジャードバイオレットトリルピ
IDS_PROPMOVER_TXT_000817	
IDS_PROPMOVER_TXT_000818	血のトリルピ
IDS_PROPMOVER_TXT_000819	
IDS_PROPMOVER_TXT_000820	へジャード血のトリルピ
IDS_PROPMOVER_TXT_000821	
IDS_PROPMOVER_TXT_000822	キメラドン
IDS_PROPMOVER_TXT_000823	
IDS_PROPMOVER_TXT_000824	巨大キメラドン
IDS_PROPMOVER_TXT_000825	
IDS_PROPMOVER_TXT_000826	メテオニカ
IDS_PROPMOVER_TXT_000827	
IDS_PROPMOVER_TXT_000828	リトル・ラーウルフ
IDS_PROPMOVER_TXT_000829	
IDS_PROPMOVER_TXT_000830	リトル・アイバット
IDS_PROPMOVER_TXT_000831	
IDS_PROPMOVER_TXT_000832	リトル・レイーナ
IDS_PROPMOVER_TXT_000833	
IDS_PROPMOVER_TXT_000834	リトル・ルイア
IDS_PROPMOVER_TXT_000835	
IDS_PROPMOVER_TXT_000836	フラリスブラックキャット
IDS_PROPMOVER_TXT_000837	
IDS_PROPMOVER_TXT_000838	ダーコンシベリアンハスキー
IDS_PROPMOVER_TXT_000839	
IDS_PROPMOVER_TXT_000840	エンティタートル
IDS_PROPMOVER_TXT_000841	
IDS_PROPMOVER_TXT_000842	ハンマギッグ
IDS_PROPMOVER_TXT_000843	
IDS_PROPMOVER_TXT_000844	ビグマズール
IDS_PROPMOVER_TXT_000845	
IDS_PROPMOVER_TXT_000846	グルング
IDS_PROPMOVER_TXT_000847	
IDS_PROPMOVER_TXT_000848	マージュムート
IDS_PROPMOVER_TXT_000849	
IDS_PROPMOVER_TXT_000850	ヤングマッシュポワ
IDS_PROPMOVER_TXT_000851	
IDS_PROPMOVER_TXT_000852	ゾンビー
IDS_PROPMOVER_TXT_000853	
IDS_PROPMOVER_TXT_000854	カーディナル・クロックワークス
IDS_PROPMOVER_TXT_000855	
IDS_PROPMOVER_TXT_000856	ヴァン・マラカイト
IDS_PROPMOVER_TXT_000857	
IDS_PROPMOVER_TXT_000858	バミリオン・マンティス
IDS_PROPMOVER_TXT_000859	
IDS_PROPMOVER_TXT_000860	アイリス・フリビーリーズン
IDS_PROPMOVER_TXT_000861	
IDS_PROPMOVER_TXT_000862	アイス・キメラドン
IDS_PROPMOVER_TXT_000863	
IDS_PROPMOVER_TXT_000864	大人ヨールン
IDS_PROPMOVER_TXT_000865	
IDS_PROPMOVER_TXT_000866	フリリン
IDS_PROPMOVER_TXT_000867	
IDS_PROPMOVER_TXT_000868	盗掘師モモガン
IDS_PROPMOVER_TXT_000869	
IDS_PROPMOVER_TXT_000870	毒王カレビアン
IDS_PROPMOVER_TXT_000871	
IDS_PROPMOVER_TXT_000872	背信者ヴェスパー
IDS_PROPMOVER_TXT_000873	
IDS_PROPMOVER_TXT_000874	虚人ウィシュパヌアス
IDS_PROPMOVER_TXT_000875	
IDS_PROPMOVER_TXT_000876	美獣ユリシーヌ
IDS_PROPMOVER_TXT_000877	
IDS_PROPMOVER_TXT_000878	イブル・ドロイゼン
IDS_PROPMOVER_TXT_000879        	
IDS_PROPMOVER_TXT_000880	イブル・スコーピオン
IDS_PROPMOVER_TXT_000881        	
IDS_PROPMOVER_TXT_000882	イブル・ギガース
IDS_PROPMOVER_TXT_000883        	
IDS_PROPMOVER_TXT_000884	イブル・チャリオット
IDS_PROPMOVER_TXT_000885        	
IDS_PROPMOVER_TXT_000886	イブル・アリスドール
IDS_PROPMOVER_TXT_000887        	
IDS_PROPMOVER_TXT_000888	イブル・タイタン
IDS_PROPMOVER_TXT_000889        	
IDS_PROPMOVER_TXT_000890	イブル・プレジャー
IDS_PROPMOVER_TXT_000891        	
IDS_PROPMOVER_TXT_000892	イブル・アンガー
IDS_PROPMOVER_TXT_000893        	
IDS_PROPMOVER_TXT_000894	イブル・サッドネス
IDS_PROPMOVER_TXT_000895        	
IDS_PROPMOVER_TXT_000896	イブル
IDS_PROPMOVER_TXT_000897        	
IDS_PROPMOVER_TXT_000898	イブル・レッドコルム
IDS_PROPMOVER_TXT_000899        	
IDS_PROPMOVER_TXT_000900	イブル・ブラックコルム
IDS_PROPMOVER_TXT_000901        	
IDS_PROPMOVER_TXT_000902	イブル・パンドラボックス
IDS_PROPMOVER_TXT_000903	
IDS_PROPMOVER_TXT_000904	イブル・ジョーカー
IDS_PROPMOVER_TXT_000905	
IDS_PROPMOVER_TXT_000906	チトース
IDS_PROPMOVER_TXT_000907	
IDS_PROPMOVER_TXT_000908	クロックス
IDS_PROPMOVER_TXT_000909	
IDS_PROPMOVER_TXT_000910	スモール・アバドン
IDS_PROPMOVER_TXT_000911	
IDS_PROPMOVER_TXT_000912	アバドン
IDS_PROPMOVER_TXT_000913	
IDS_PROPMOVER_TXT_000914	キャプテン・アバドン
IDS_PROPMOVER_TXT_000915	
IDS_PROPMOVER_TXT_000916	グレート・アバドン
IDS_PROPMOVER_TXT_000917	
IDS_PROPMOVER_TXT_000918	ジャイアント・アバドン
IDS_PROPMOVER_TXT_000919	
IDS_PROPMOVER_TXT_000920	スモール・ハニーシーカー
IDS_PROPMOVER_TXT_000921	
IDS_PROPMOVER_TXT_000922	ハニーシーカー
IDS_PROPMOVER_TXT_000923	
IDS_PROPMOVER_TXT_000924	キャプテン・ハニーシーカー
IDS_PROPMOVER_TXT_000925	
IDS_PROPMOVER_TXT_000926	グレート・ハニーシーカー
IDS_PROPMOVER_TXT_000927	
IDS_PROPMOVER_TXT_000928	ジャイアント・ハニーシーカー
IDS_PROPMOVER_TXT_000929	
IDS_PROPMOVER_TXT_000930	ジャイアント・ゴブーリン
IDS_PROPMOVER_TXT_000931	
IDS_PROPMOVER_TXT_000932	ジャイアント・ハーレークイン
IDS_PROPMOVER_TXT_000933	
IDS_PROPMOVER_TXT_000934	ポラーベアー
IDS_PROPMOVER_TXT_000935	
IDS_PROPMOVER_TXT_000936	polar Bear
IDS_PROPMOVER_TXT_000937	
IDS_PROPMOVER_TXT_000938	レッドエンジェル
IDS_PROPMOVER_TXT_000939	
IDS_PROPMOVER_TXT_000940	ブルーエンジェル
IDS_PROPMOVER_TXT_000941	
IDS_PROPMOVER_TXT_000942	グリーンエンジェル
IDS_PROPMOVER_TXT_000943	
IDS_PROPMOVER_TXT_000944	ホワイトエンジェル
IDS_PROPMOVER_TXT_000945	
IDS_PROPMOVER_TXT_000946	マドリガル郵便ポスト
IDS_PROPMOVER_TXT_000947	
IDS_PROPMOVER_TXT_000948	レッドメテオニカ
IDS_PROPMOVER_TXT_000949	
IDS_PROPMOVER_TXT_000950	ブルーメテオニカ
IDS_PROPMOVER_TXT_000951	
IDS_PROPMOVER_TXT_000952	グリーンメテオニカ
IDS_PROPMOVER_TXT_000953	
IDS_PROPMOVER_TXT_000954	セイントペンギン
IDS_PROPMOVER_TXT_000955	
IDS_PROPMOVER_TXT_000956	デェカネスイグアナ
IDS_PROPMOVER_TXT_000957	
IDS_PROPMOVER_TXT_000958	デッドウィルダニスコブラ
IDS_PROPMOVER_TXT_000959	
IDS_PROPMOVER_TXT_000960	卵（ペット）
IDS_PROPMOVER_TXT_000961	
IDS_PROPMOVER_TXT_000962	タイガー
IDS_PROPMOVER_TXT_000963	
IDS_PROPMOVER_TXT_000964	タイガー
IDS_PROPMOVER_TXT_000965	
IDS_PROPMOVER_TXT_000966	ライオン
IDS_PROPMOVER_TXT_000967	
IDS_PROPMOVER_TXT_000968	ライオン
IDS_PROPMOVER_TXT_000969	
IDS_PROPMOVER_TXT_000970	ラビット
IDS_PROPMOVER_TXT_000971	
IDS_PROPMOVER_TXT_000972	ラビット
IDS_PROPMOVER_TXT_000973	
IDS_PROPMOVER_TXT_000974	ドラゴン
IDS_PROPMOVER_TXT_000975	
IDS_PROPMOVER_TXT_000976	ドラゴン
IDS_PROPMOVER_TXT_000977	
IDS_PROPMOVER_TXT_000978	ユニコーン
IDS_PROPMOVER_TXT_000979	
IDS_PROPMOVER_TXT_000980	ユニコーン
IDS_PROPMOVER_TXT_000981	
IDS_PROPMOVER_TXT_000982	キツネ
IDS_PROPMOVER_TXT_000983	
IDS_PROPMOVER_TXT_000984	キツネ
IDS_PROPMOVER_TXT_000985	
IDS_PROPMOVER_TXT_000986	グリフォン
IDS_PROPMOVER_TXT_000987	
IDS_PROPMOVER_TXT_000988	グリフォン
IDS_PROPMOVER_TXT_000989	
IDS_PROPMOVER_TXT_000990	サイクロプス
IDS_PROPMOVER_TXT_000991	
IDS_PROPMOVER_TXT_000992	謎のローブ男
IDS_PROPMOVER_TXT_000993	
IDS_PROPMOVER_TXT_000994	謎のローブ少女
IDS_PROPMOVER_TXT_000995	
IDS_PROPMOVER_TXT_000996	ギャンブラー
IDS_PROPMOVER_TXT_000997	
IDS_PROPMOVER_TXT_000998	ヘアーデザイナー
IDS_PROPMOVER_TXT_000999	
IDS_PROPMOVER_TXT_001000	メイクアップアーティスト
IDS_PROPMOVER_TXT_001001	
IDS_PROPMOVER_TXT_001002	ペットテイマー
IDS_PROPMOVER_TXT_001003	
IDS_PROPMOVER_TXT_001004	ダンサー
IDS_PROPMOVER_TXT_001005	
IDS_PROPMOVER_TXT_001006	ミスフリフ
IDS_PROPMOVER_TXT_001007	
IDS_PROPMOVER_TXT_001008	ミスターフリフ
IDS_PROPMOVER_TXT_001009	
IDS_PROPMOVER_TXT_001010	[成獣] ブラックタイガー
IDS_PROPMOVER_TXT_001011	
IDS_PROPMOVER_TXT_001012	[成獣] ヘルライオン
IDS_PROPMOVER_TXT_001013	
IDS_PROPMOVER_TXT_001014	[成獣] ジャッカロープ
IDS_PROPMOVER_TXT_001015	
IDS_PROPMOVER_TXT_001016	[成獣] ダークドラゴン
IDS_PROPMOVER_TXT_001017	
IDS_PROPMOVER_TXT_001018	[成獣] ナイトメア
IDS_PROPMOVER_TXT_001019	
IDS_PROPMOVER_TXT_001020	[成獣] 妖狐
IDS_PROPMOVER_TXT_001021	
IDS_PROPMOVER_TXT_001022	[成獣] ヒポグリフ
IDS_PROPMOVER_TXT_001023	
IDS_PROPMOVER_TXT_001024	センディルグリーンフロッグ
IDS_PROPMOVER_TXT_001025	
IDS_PROPMOVER_TXT_001026	マドリガルバーガー
IDS_PROPMOVER_TXT_001027	
IDS_PROPMOVER_TXT_001028	エイエンブルグリーンタートル
IDS_PROPMOVER_TXT_001029	
IDS_PROPMOVER_TXT_001030	懺悔の司祭
IDS_PROPMOVER_TXT_001031	
IDS_PROPMOVER_TXT_001032	謎めいた少年
IDS_PROPMOVER_TXT_001033	
IDS_PROPMOVER_TXT_001034	クック老師
IDS_PROPMOVER_TXT_001035	
IDS_PROPMOVER_TXT_001036	アリアンスホルスタイン
IDS_PROPMOVER_TXT_001037	
IDS_PROPMOVER_TXT_001038	ヒルリドビーグル
IDS_PROPMOVER_TXT_001039	
IDS_PROPMOVER_TXT_001040	ガルディアブルードラゴン
IDS_PROPMOVER_TXT_001041	
IDS_PROPMOVER_TXT_001042	マッドランハムスター
IDS_PROPMOVER_TXT_001043	
IDS_PROPMOVER_TXT_001044	バブルブラウンホース
IDS_PROPMOVER_TXT_001045	
IDS_PROPMOVER_TXT_001046	ヘルエットモンキー
IDS_PROPMOVER_TXT_001047	
IDS_PROPMOVER_TXT_001048	レルエンピッグ
IDS_PROPMOVER_TXT_001049	
IDS_PROPMOVER_TXT_001050	ふわふわホワイトラビット
IDS_PROPMOVER_TXT_001051	
IDS_PROPMOVER_TXT_001052	モフモフこひつじ
IDS_PROPMOVER_TXT_001053	
IDS_PROPMOVER_TXT_001054	キプラタイガー
IDS_PROPMOVER_TXT_001055	
IDS_PROPMOVER_TXT_001056	 イエティン
IDS_PROPMOVER_TXT_001057	
IDS_PROPMOVER_TXT_001058	 パンサー・イエティン
IDS_PROPMOVER_TXT_001059	
IDS_PROPMOVER_TXT_001060	 アウグ
IDS_PROPMOVER_TXT_001061	
IDS_PROPMOVER_TXT_001062	 ゴールデン・アウグ
IDS_PROPMOVER_TXT_001063	
IDS_PROPMOVER_TXT_001064	 プリンス・ゴースト
IDS_PROPMOVER_TXT_001065	
IDS_PROPMOVER_TXT_001066	 キング・ゴースト
IDS_PROPMOVER_TXT_001067	
IDS_PROPMOVER_TXT_001068	 ワーポル
IDS_PROPMOVER_TXT_001069	
IDS_PROPMOVER_TXT_001070	 マーメイ
IDS_PROPMOVER_TXT_001071	
IDS_PROPMOVER_TXT_001072	 マーメイ・ノーブル
IDS_PROPMOVER_TXT_001073	
IDS_PROPMOVER_TXT_001074	 コリンス
IDS_PROPMOVER_TXT_001075	
IDS_PROPMOVER_TXT_001076	てきぱきメイド
IDS_PROPMOVER_TXT_001077	
IDS_PROPMOVER_TXT_001078	小さなミーア
IDS_PROPMOVER_TXT_001079	
IDS_PROPMOVER_TXT_001080	ブラックドラゴン
IDS_PROPMOVER_TXT_001081	
IDS_PROPMOVER_TXT_001082	リシス
IDS_PROPMOVER_TXT_001083	
IDS_PROPMOVER_TXT_001084	デミアン
IDS_PROPMOVER_TXT_001085	
IDS_PROPMOVER_TXT_001086	レドソン
IDS_PROPMOVER_TXT_001087	
IDS_PROPMOVER_TXT_001088	ブラックピュアー
IDS_PROPMOVER_TXT_001089	
IDS_PROPMOVER_TXT_001090	Prepaid Card
IDS_PROPMOVER_TXT_001091	
IDS_PROPMOVER_TXT_001092	スモール・ケットシー
IDS_PROPMOVER_TXT_001093	
IDS_PROPMOVER_TXT_001094	ケットシー
IDS_PROPMOVER_TXT_001095	
IDS_PROPMOVER_TXT_001096	キャプテン・ケットシー
IDS_PROPMOVER_TXT_001097	
IDS_PROPMOVER_TXT_001098	ジャイアント・ケットシー
IDS_PROPMOVER_TXT_001099	
IDS_PROPMOVER_TXT_001100	スモール・ハーピー
IDS_PROPMOVER_TXT_001101	
IDS_PROPMOVER_TXT_001102	ハーピー
IDS_PROPMOVER_TXT_001103	
IDS_PROPMOVER_TXT_001104	キャプテン・ハーピー
IDS_PROPMOVER_TXT_001105	
IDS_PROPMOVER_TXT_001106	ジャイアント・ハーピー
IDS_PROPMOVER_TXT_001107	
IDS_PROPMOVER_TXT_001108	スモール・ポレヴィック
IDS_PROPMOVER_TXT_001109	
IDS_PROPMOVER_TXT_001110	ポレヴィック
IDS_PROPMOVER_TXT_001111	
IDS_PROPMOVER_TXT_001112	キャプテン・ポレヴィック
IDS_PROPMOVER_TXT_001113	
IDS_PROPMOVER_TXT_001114	ジャイアント・ポレヴィック
IDS_PROPMOVER_TXT_001115	
IDS_PROPMOVER_TXT_001116	スモール・アブラクス
IDS_PROPMOVER_TXT_001117	
IDS_PROPMOVER_TXT_001118	アブラクス
IDS_PROPMOVER_TXT_001119	
IDS_PROPMOVER_TXT_001120	キャプテン・アブラクス
IDS_PROPMOVER_TXT_001121	
IDS_PROPMOVER_TXT_001122	ジャイアント・アブラクス
IDS_PROPMOVER_TXT_001123	
IDS_PROPMOVER_TXT_001124	スモール・ハッグ
IDS_PROPMOVER_TXT_001125	
IDS_PROPMOVER_TXT_001126	ハッグ
IDS_PROPMOVER_TXT_001127	
IDS_PROPMOVER_TXT_001128	キャプテン・ハッグ
IDS_PROPMOVER_TXT_001129	
IDS_PROPMOVER_TXT_001130	ジャイアント・ハッグ
IDS_PROPMOVER_TXT_001131	
IDS_PROPMOVER_TXT_001132	スモール・トート
IDS_PROPMOVER_TXT_001133	
IDS_PROPMOVER_TXT_001134	トート
IDS_PROPMOVER_TXT_001135	
IDS_PROPMOVER_TXT_001136	キャプテン・トート
IDS_PROPMOVER_TXT_001137	
