IDS_PROPSKILL_TXT_000000	Clean Hit
IDS_PROPSKILL_TXT_000360	Special INT Mastery
IDS_PROPSKILL_TXT_000361	Erhöht die INT
IDS_PROPSKILL_TXT_000362	Special INT Mastery
IDS_PROPSKILL_TXT_000363	Erhöht die INT
IDS_PROPSKILL_TXT_000364	Special Knuckle Mastery
IDS_PROPSKILL_TXT_000365	Erhöht den Schaden wenn du einen Knuckle verwendest.
IDS_PROPSKILL_TXT_000366	Blessing of the Wise Man
IDS_PROPSKILL_TXT_000367	Kann zufällig einen negativen Effekt (Gift, Blutung oder Fluch) von einem Gruppenmitgliedes entfernen. Chance steigt bei höherem Skilllevel.
IDS_PROPSKILL_TXT_000368	Quick Step (Event)
IDS_PROPSKILL_TXT_000369	Erhöht deine Geschwindigkeit.
IDS_PROPSKILL_TXT_000370	Haste (Event)
IDS_PROPSKILL_TXT_000371	Erhöht das Angriffstempo des Ziels.
IDS_PROPSKILL_TXT_000372	Heap-Up (Event)
IDS_PROPSKILL_TXT_000373	Erhöht die STA des Ziels.
IDS_PROPSKILL_TXT_000374	Accuracy (Event)
IDS_PROPSKILL_TXT_000375	Erhöht die Trefferrate des Ziels.
IDS_PROPSKILL_TXT_000376	Templar Pulling
IDS_PROPSKILL_TXT_000377	Ziehe deinen Gegner zu dir. Ein 1H-Schwert muss ausgerüstet sein.
IDS_PROPSKILL_TXT_000378	Grand Rage
IDS_PROPSKILL_TXT_000379	Ein Schlag, der hohen Schaden zufügt. Ein 1H-Schwert muss ausgerüstet sein.
IDS_PROPSKILL_TXT_000380	Shield Strike
IDS_PROPSKILL_TXT_000381	Schlage mit deinem Schild zu. Kann das Ziel betäuben. Ein Schild muss ausgerüstet sein.
IDS_PROPSKILL_TXT_000382	Angry Increase
IDS_PROPSKILL_TXT_000383	Provoziere deinen Gegner und erhöhe die Aggrorate
IDS_PROPSKILL_TXT_000384	Holy Armor
IDS_PROPSKILL_TXT_000385	Erhöht die Verteidigung für 5 Minuten.
IDS_PROPSKILL_TXT_000386	Scope Strike
IDS_PROPSKILL_TXT_000387	Fügt Flächenschaden zu. Eine 2H-Axt muss ausgerüstet sein.
IDS_PROPSKILL_TXT_000388	Cross Of Blood
IDS_PROPSKILL_TXT_000389	Füge hohen Schaden zu.
IDS_PROPSKILL_TXT_000390	Storm Blast
IDS_PROPSKILL_TXT_000391	Fügt Flächenschaden zu.
IDS_PROPSKILL_TXT_000392	Power Increase
IDS_PROPSKILL_TXT_000393	Erhöht die Angriffskraft für 5 Minuten.
IDS_PROPSKILL_TXT_000394	Mad Hurricane
IDS_PROPSKILL_TXT_000395	Fügt einem Ziel hohen Schaden zu.
IDS_PROPSKILL_TXT_000396	Evasion Increase
IDS_PROPSKILL_TXT_000397	Erhöht die Nahkampfabwehr für 5 Minuten.
IDS_PROPSKILL_TXT_000398	Control Increase
IDS_PROPSKILL_TXT_000399	Erhöht die Treffsicherheit für 5 Minuten.
IDS_PROPSKILL_TXT_000400	Back Stab
IDS_PROPSKILL_TXT_000401	Greife den Gegner von hinten an!
IDS_PROPSKILL_TXT_000402	Range Strike
IDS_PROPSKILL_TXT_000403	Fügt Flächenschaden zu.
IDS_PROPSKILL_TXT_000404	Power Increase
IDS_PROPSKILL_TXT_000405	Erhöht die Angriffskraft für 5 Minuten.
IDS_PROPSKILL_TXT_000406	Control Increase
IDS_PROPSKILL_TXT_000407	Erhöht die Treffsicherheit für 5 Minuten.
IDS_PROPSKILL_TXT_000408	Hawk Eye
IDS_PROPSKILL_TXT_000409	Erhöht die Reichweite deines Bogens.
IDS_PROPSKILL_TXT_000410	Prayer of Healing
IDS_PROPSKILL_TXT_000411	Regeneriert die HP deiner Gruppenmitglieder über einen bestimmten Zeitraum.
IDS_PROPSKILL_TXT_000412	Blessed Step
IDS_PROPSKILL_TXT_000413	Erhöht die Bewegungsgeschwindigkeit von Gruppenmitgliedern für 5 Minuten.
IDS_PROPSKILL_TXT_000414	Blessed Body
IDS_PROPSKILL_TXT_000415	Erhöht die HP deiner Gruppenmitglieder für 5 Minuten.
IDS_PROPSKILL_TXT_000416	Blessed Armor
IDS_PROPSKILL_TXT_000417	Erhöht die Verteidigung deiner Gruppenmitglieder für 5 Minuten.
IDS_PROPSKILL_TXT_000418	Absolute Barrier
IDS_PROPSKILL_TXT_000419	Du erhältst 5 Minuten lang keinen Schaden.
IDS_PROPSKILL_TXT_000420	Fetters
IDS_PROPSKILL_TXT_000421	Hält ein Ziel für 47-60 Sekunden fest. Das Ziel kann Fähigkeiten benutzen, sich aber nicht bewegen.
IDS_PROPSKILL_TXT_000422	Aura of Tenacity
IDS_PROPSKILL_TXT_000423	Erhöht den zusätzlichen Magieschaden deiner Gruppenmitglieder für 5 Minuten.
IDS_PROPSKILL_TXT_000424	Aura of Rage
IDS_PROPSKILL_TXT_000425	Erhöht die Angriffskraft deiner Gruppenmitglieder für 5 Minuten.
IDS_PROPSKILL_TXT_000426	Aura of Speed
IDS_PROPSKILL_TXT_000427	Erhöht die Angriffsgeschwindigkeit deiner Gruppenmitglieder für 5 Minuten.
IDS_PROPSKILL_TXT_000428	Aura of Madness
IDS_PROPSKILL_TXT_000429	Erhöht die kritische Trefferrate der Gruppenmitglieder für 5 Minuten.
IDS_PROPSKILL_TXT_000430	Darkness Scream
IDS_PROPSKILL_TXT_000431	Fügt Schaden über Zeit zu.
IDS_PROPSKILL_TXT_000432	Darkness Rake
IDS_PROPSKILL_TXT_000433	Fügt hohen Schaden zu.
IDS_PROPSKILL_TXT_000434	Attack Decrease
IDS_PROPSKILL_TXT_000435	Senkt die Angriffskraft eines Ziels.
IDS_PROPSKILL_TXT_000436	Defender Decrease
IDS_PROPSKILL_TXT_000437	Senkt die DEF eines Ziels.
IDS_PROPSKILL_TXT_000438	Speed Decrease
IDS_PROPSKILL_TXT_000439	Senkt die Angriffsgeschwindigkeit eines Ziels.
IDS_PROPSKILL_TXT_000440	Thunderbolts
IDS_PROPSKILL_TXT_000441	Fügt Flächenschaden zu.
IDS_PROPSKILL_TXT_000442	Final Spear
IDS_PROPSKILL_TXT_000443	Werfe einen magischen Speer auf deine Gegner.
IDS_PROPSKILL_TXT_000444	Cosmic Element
IDS_PROPSKILL_TXT_000445	Konzentriere die Elemente und füge einem Ziel Schaden zu.
IDS_PROPSKILL_TXT_000446	Sleeping
IDS_PROPSKILL_TXT_000447	Bringt das Ziel zum einschlafen.
IDS_PROPSKILL_TXT_000448	Holding Storm
IDS_PROPSKILL_TXT_000449	Hindert dein Ziel daran, sich zu bewegen.
IDS_PROPSKILL_TXT_000450	Ancient Death Rune
IDS_PROPSKILL_TXT_000451	Mit einer gewissen Wahrscheinlichkeit, tötest du deinen Gegner mit einem Schlag.
IDS_PROPSKILL_TXT_000452	Ancient Life Rune
IDS_PROPSKILL_TXT_000453	Kann bei Benutzung der Waffe 100% HP wiederherstellen.
IDS_PROPSKILL_TXT_000454	Ancient Battle Rune
IDS_PROPSKILL_TXT_000455	Kann bei Benutzung der Waffe 100% FP wiederherstellen.
IDS_PROPSKILL_TXT_000456	Ancient Magic Rune
IDS_PROPSKILL_TXT_000457	Kann bei Benutzung der Waffe 100% MP wiederherstellen.
IDS_PROPSKILL_TXT_000458	Ancient Venom Rune
IDS_PROPSKILL_TXT_000459	Kann bei Benutzung der Waffe, einen Gegner vergiften.
IDS_PROPSKILL_TXT_000460	Ancient Blood Rune
IDS_PROPSKILL_TXT_000461	Kann bei Benutzung der Waffe, eine blutende Wunde zufügen.
