IDS_PROPSKILL_TXT_000000	重擊
IDS_PROPSKILL_TXT_000409	施展者的弓箭射程距離增加。
IDS_PROPSKILL_TXT_000410	生命泉源
IDS_PROPSKILL_TXT_000411	只有在有隊伍的情況下可以使用，可以讓隊伍成員的 HP持續恢復。
IDS_PROPSKILL_TXT_000412	祝福的舞步
IDS_PROPSKILL_TXT_000413	只有在有隊伍的情況下可以使用，可以讓隊伍成員的移動速度在 1分鐘內增加。
IDS_PROPSKILL_TXT_000414	祝福的軀體
IDS_PROPSKILL_TXT_000415	只有在有隊伍的情況下可以使用，可以讓隊伍成員的最大 HP在 1分鐘內增加。
IDS_PROPSKILL_TXT_000416	祝福的盔甲
IDS_PROPSKILL_TXT_000417	只有在有隊伍的情況下可以使用，可以讓隊伍成員的物理防禦力在 1分鐘內增加。
IDS_PROPSKILL_TXT_000418	絕對障壁
IDS_PROPSKILL_TXT_000419	只有在多人戰時，可以在 5分鐘內形成保護自己防禦 40傷害的保護膜。該防護膜無法作用在怪物身上。
IDS_PROPSKILL_TXT_000420	咒縛術
IDS_PROPSKILL_TXT_000421	讓對方在一定時間內無法移動。
IDS_PROPSKILL_TXT_000422	堅韌之光
IDS_PROPSKILL_TXT_000423	只有在有隊伍的情況下可以使用，在施展時間內可以讓周圍隊伍成員的魔法攻擊力提升。
IDS_PROPSKILL_TXT_000424	勇猛之光
IDS_PROPSKILL_TXT_000425	只有在有隊伍的情況下可以使用，在施展時間內可以讓周圍隊伍成員的攻擊力提升。
IDS_PROPSKILL_TXT_000426	神速之光
IDS_PROPSKILL_TXT_000427	只有在有隊伍的情況下可以使用，在施展時間內可以讓隊伍成員的攻擊速度提升。
IDS_PROPSKILL_TXT_000428	狂暴之光
IDS_PROPSKILL_TXT_000429	只有在有隊伍的情況下可以使用，在施展時間內可以讓隊伍成員的致命打擊率提升。
IDS_PROPSKILL_TXT_000430	黑暗之嘯
IDS_PROPSKILL_TXT_000431	讓對方在一定時間內持續受到傷害。
IDS_PROPSKILL_TXT_000432	黑暗侵襲
IDS_PROPSKILL_TXT_000433	讓對方受到重重的傷害。
IDS_PROPSKILL_TXT_000434	力量封印
IDS_PROPSKILL_TXT_000435	讓被選擇的對象之攻擊力減少。
IDS_PROPSKILL_TXT_000436	防禦封印
IDS_PROPSKILL_TXT_000437	讓被選擇的對象之防禦力減少。
IDS_PROPSKILL_TXT_000438	緩速術
IDS_PROPSKILL_TXT_000439	讓被選擇的對象之攻擊速度減少。
IDS_PROPSKILL_TXT_000440	雷霆之怒
IDS_PROPSKILL_TXT_000441	讓施展者周圍的所有人受到傷害。
IDS_PROPSKILL_TXT_000442	終極之刺
IDS_PROPSKILL_TXT_000443	利用元素所製作的槍射向敵人，使其受到傷害。
IDS_PROPSKILL_TXT_000444	生命球
IDS_PROPSKILL_TXT_000445	向對方投射凝聚的元素，使其受到傷害。
IDS_PROPSKILL_TXT_000446	催眠
IDS_PROPSKILL_TXT_000447	讓對方沉睡數秒。
IDS_PROPSKILL_TXT_000448	暴風枷鎖
IDS_PROPSKILL_TXT_000449	讓單一對象無法移動。
IDS_PROPSKILL_TXT_000450	古文字磁石_西凱爾
IDS_PROPSKILL_TXT_000451	一定機率下一擊擊倒敵人。
IDS_PROPSKILL_TXT_000452	古文字磁石_貝勒克
IDS_PROPSKILL_TXT_000453	一定機率下恢復自己的 HP 100%。
IDS_PROPSKILL_TXT_000454	古文字磁石_柴那
IDS_PROPSKILL_TXT_000455	一定機率下恢復自己的 FP 100%。
IDS_PROPSKILL_TXT_000456	古文字磁石_馬那茲
IDS_PROPSKILL_TXT_000457	一定機率下恢復自己的 MP 100%。
IDS_PROPSKILL_TXT_000458	古文字磁石_唉歐
IDS_PROPSKILL_TXT_000459	一定機率下讓敵人中毒。
IDS_PROPSKILL_TXT_000460	古文字磁石_迪勒
IDS_PROPSKILL_TXT_000461	一定機率下讓對方受傷。
