IDS_PROPSKILL_TXT_000000	Прямой выпад
IDS_PROPSKILL_TXT_000411	Вы молите богиню Райс излечить ваши раны или раны товарища. О чудо! Богиня благосклонно соглашается. [Ур. 1: постепенно восстанавливает 1700 ОЗ; ур. 5: постепенно восстанавливает 5000 ОЗ.]
IDS_PROPSKILL_TXT_000412	Как на крыльях
IDS_PROPSKILL_TXT_000413	Ваш отряд мчится вперед как на крыльях. [Ур. 1: +30% к скорости передвижения группы; ур. 5: +42% к скорости передвижения группы на 10 минут.]
IDS_PROPSKILL_TXT_000414	Адамант
IDS_PROPSKILL_TXT_000415	Ваши товарищи чувствуют внезапный прилив сил и энергии. [Ур. 1: +900 к запасу ОЗ; ур. 5: +3500 к запасу ОЗ всех игроков группы на 10 минут.]
IDS_PROPSKILL_TXT_000416	Доспехи Лучик
IDS_PROPSKILL_TXT_000417	Вы просите клоунессу Лучик защитить ваших товарищей, и она добродушно соглашается. [Ур. 1: +350 к защите; ур. 5: +550 к защите всей группы на 10 минут.]
IDS_PROPSKILL_TXT_000418	Абсолютная защита
IDS_PROPSKILL_TXT_000419	Вас окружает силовое поле, которое принимает на себя весь поступающий урон. [Ур. 1: запас прочности поля - 200.000 ед.; ур. 5: 400.000 ед.] Применимо только в PvP. Исчезает само собой через 5 минут.
IDS_PROPSKILL_TXT_000420	Кандалы
IDS_PROPSKILL_TXT_000421	Снижают скорость передвижения цели и могут приковать ее к месту на 6 секунд.
IDS_PROPSKILL_TXT_000422	Объятия Тени
IDS_PROPSKILL_TXT_000423	Ваши товарищи чувствуют прилив магической энергии. Им не обязательно знать, что вы обратились за помощью к коварной Тени. [Ур. 1: +100 к силе заклинаний; ур. 5: +300 к силе заклинаний всей группы на 10 минут.]
IDS_PROPSKILL_TXT_000424	Стероиды
IDS_PROPSKILL_TXT_000425	Все говорят, что стероиды вредны, но вы считаете, что иногда они приходятся очень кстати. Вам виднее - ведь вы чемпион! [Ур. 1: +100 к силе атак; ур. 5: +180 к силе атак всей группы на 10 минут.]
IDS_PROPSKILL_TXT_000426	Фанатизм
IDS_PROPSKILL_TXT_000427	Ваши товарищи начинают атаковать врагов с удвоенным усердием. [Ур. 1: +4% к скорости атак; ур. 5: +20% к скорости атак всей группы на 10 минут.]
IDS_PROPSKILL_TXT_000428	Вендетта
IDS_PROPSKILL_TXT_000429	Ваши товарищи начинают атаковать врагов с удвоенной яростью. [Ур. 1: +25% к вероятности критического удара; ур. 5: +45% к вероятности критического удара для всех игроков группы на 10 минут.]
IDS_PROPSKILL_TXT_000430	Внушение боли
IDS_PROPSKILL_TXT_000431	От дикой боли страдаешь ты… [Цель получает периодический урон.]
IDS_PROPSKILL_TXT_000432	Удар по нервам
IDS_PROPSKILL_TXT_000433	Наносит цели значительный урон.
IDS_PROPSKILL_TXT_000434	Внушение слабости
IDS_PROPSKILL_TXT_000435	Яростно биться не можешь ты… [Ур. 1: -5% к силе атаки противника; ур. 5: -28% к силе атаки противника.]
IDS_PROPSKILL_TXT_000436	Внушение уязвимости
IDS_PROPSKILL_TXT_000437	Защиту свою теряешь ты… [Ур. 1: -5% к защите противника; ур. 5: -28% к защите противника.]
IDS_PROPSKILL_TXT_000438	Транс
IDS_PROPSKILL_TXT_000439	Быстро биться не можешь ты… [Ур. 1: -10% к скорости атак противника; ур. 5: -30% к скорости атак противника.]
IDS_PROPSKILL_TXT_000440	Гром и молния
IDS_PROPSKILL_TXT_000441	Грозовые молнии наносят урон окружающим врагам.
IDS_PROPSKILL_TXT_000442	Копье судьбы
IDS_PROPSKILL_TXT_000443	Наносит врагу урон силой стихий.
IDS_PROPSKILL_TXT_000444	Плазменный шар
IDS_PROPSKILL_TXT_000445	Наносит врагу урон силой стихий.
IDS_PROPSKILL_TXT_000446	Забвение
IDS_PROPSKILL_TXT_000447	На несколько секунд погружает цель в сон.
IDS_PROPSKILL_TXT_000448	Оковы бури
IDS_PROPSKILL_TXT_000449	Приковывает цель к месту.
IDS_PROPSKILL_TXT_000450	Руна громовержца
IDS_PROPSKILL_TXT_000451	Дает шанс убить врага с одного удара.
IDS_PROPSKILL_TXT_000452	Руна иллюзиониста
IDS_PROPSKILL_TXT_000453	Дает шанс моментально восстановить 100% ОЗ.
IDS_PROPSKILL_TXT_000454	Руна акробата
IDS_PROPSKILL_TXT_000455	Дает шанс моментально восстановить 100% ОЭ.
IDS_PROPSKILL_TXT_000456	Руна фокусника
IDS_PROPSKILL_TXT_000457	Дает шанс моментально восстановить 100% ОМ.
IDS_PROPSKILL_TXT_000458	Руна отравителя
IDS_PROPSKILL_TXT_000459	Дает шанс отравить врага.
IDS_PROPSKILL_TXT_000460	Руна потрошителя
IDS_PROPSKILL_TXT_000461	Дает шанс нанести врагу кровоточащую рану.
