IDS_PROPMOVER_TXT_000000	По умолчанию
IDS_PROPMOVER_TXT_000584	Крыжорник-мутант
IDS_PROPMOVER_TXT_000585	
IDS_PROPMOVER_TXT_000586	Сильный крыжорник-мутант
IDS_PROPMOVER_TXT_000587	
IDS_PROPMOVER_TXT_000588	Громадный крыжорник-мутант
IDS_PROPMOVER_TXT_000589	
IDS_PROPMOVER_TXT_000590	Кисандра-мутант
IDS_PROPMOVER_TXT_000591	
IDS_PROPMOVER_TXT_000592	Сильная Кисандра-мутант
IDS_PROPMOVER_TXT_000593	
IDS_PROPMOVER_TXT_000594	Гигантская Кисандра-мутант
IDS_PROPMOVER_TXT_000595	
IDS_PROPMOVER_TXT_000596	Гром-мутант
IDS_PROPMOVER_TXT_000597	
IDS_PROPMOVER_TXT_000598	Сильный Гром-мутант
IDS_PROPMOVER_TXT_000599	
IDS_PROPMOVER_TXT_000600	Гигантский Гром-мутант
IDS_PROPMOVER_TXT_000601	
IDS_PROPMOVER_TXT_000602	Арахнага
IDS_PROPMOVER_TXT_000603	
IDS_PROPMOVER_TXT_000604	Фобия
IDS_PROPMOVER_TXT_000605	
IDS_PROPMOVER_TXT_000606	Зловещая арахнага
IDS_PROPMOVER_TXT_000607	
IDS_PROPMOVER_TXT_000608	Меднолицый Вуки-туки
IDS_PROPMOVER_TXT_000609	
IDS_PROPMOVER_TXT_000610	Бессердечный Гром
IDS_PROPMOVER_TXT_000611	
IDS_PROPMOVER_TXT_000612	Ужасающий камнетавр
IDS_PROPMOVER_TXT_000613	
IDS_PROPMOVER_TXT_000614	Летучий циклопырь
IDS_PROPMOVER_TXT_000615	
IDS_PROPMOVER_TXT_000616	Ужасный мистер Тыквер
IDS_PROPMOVER_TXT_000617	
IDS_PROPMOVER_TXT_000618	Ужасный злыдень
IDS_PROPMOVER_TXT_000619	
IDS_PROPMOVER_TXT_000620	Свин-убийца
IDS_PROPMOVER_TXT_000621	
IDS_PROPMOVER_TXT_000622	Шеф-повар Кромсатти
IDS_PROPMOVER_TXT_000623	
IDS_PROPMOVER_TXT_000624	Пингвид
IDS_PROPMOVER_TXT_000625	
IDS_PROPMOVER_TXT_000626	Люша
IDS_PROPMOVER_TXT_000627	
IDS_PROPMOVER_TXT_000628	Бобохан
IDS_PROPMOVER_TXT_000629	
IDS_PROPMOVER_TXT_000630	Джулия
IDS_PROPMOVER_TXT_000631	
IDS_PROPMOVER_TXT_000632	Луи
IDS_PROPMOVER_TXT_000633	
IDS_PROPMOVER_TXT_000634	Марша
IDS_PROPMOVER_TXT_000635	
IDS_PROPMOVER_TXT_000636	Булрокс
IDS_PROPMOVER_TXT_000637	
IDS_PROPMOVER_TXT_000638	Тина
IDS_PROPMOVER_TXT_000639	
IDS_PROPMOVER_TXT_000640	Тетушка Карина
IDS_PROPMOVER_TXT_000641	
IDS_PROPMOVER_TXT_000642	Мартин
IDS_PROPMOVER_TXT_000643	
IDS_PROPMOVER_TXT_000644	Билл
IDS_PROPMOVER_TXT_000645	
IDS_PROPMOVER_TXT_000646	Карлик
IDS_PROPMOVER_TXT_000647	
IDS_PROPMOVER_TXT_000648	Высокий карлик
IDS_PROPMOVER_TXT_000649	
IDS_PROPMOVER_TXT_000650	Параллельна
IDS_PROPMOVER_TXT_000651	
IDS_PROPMOVER_TXT_000652	Тень
IDS_PROPMOVER_TXT_000653	
IDS_PROPMOVER_TXT_000654	Элла
IDS_PROPMOVER_TXT_000655	
IDS_PROPMOVER_TXT_000656	Фахам
IDS_PROPMOVER_TXT_000657	
IDS_PROPMOVER_TXT_000658	Лучик
IDS_PROPMOVER_TXT_000659	
IDS_PROPMOVER_TXT_000660	Райн
IDS_PROPMOVER_TXT_000661	
IDS_PROPMOVER_TXT_000662	Рукер
IDS_PROPMOVER_TXT_000663	
IDS_PROPMOVER_TXT_000664	Хельга
IDS_PROPMOVER_TXT_000665	
IDS_PROPMOVER_TXT_000666	Амфора
IDS_PROPMOVER_TXT_000667	
IDS_PROPMOVER_TXT_000668	Читлер
IDS_PROPMOVER_TXT_000669	
IDS_PROPMOVER_TXT_000670	Бутчер
IDS_PROPMOVER_TXT_000671	
IDS_PROPMOVER_TXT_000672	Алан
IDS_PROPMOVER_TXT_000673	
IDS_PROPMOVER_TXT_000674	Апчхен
IDS_PROPMOVER_TXT_000675	
IDS_PROPMOVER_TXT_000676	Вейдер
IDS_PROPMOVER_TXT_000677	
IDS_PROPMOVER_TXT_000678	Рамина
IDS_PROPMOVER_TXT_000679	
IDS_PROPMOVER_TXT_000680	Незнакомец
IDS_PROPMOVER_TXT_000681	
IDS_PROPMOVER_TXT_000682	Агент
IDS_PROPMOVER_TXT_000683	
IDS_PROPMOVER_TXT_000684	Бэддини
IDS_PROPMOVER_TXT_000685	
IDS_PROPMOVER_TXT_000686	Хранительница
IDS_PROPMOVER_TXT_000687	
IDS_PROPMOVER_TXT_000688	Капитан стражи
IDS_PROPMOVER_TXT_000689	
IDS_PROPMOVER_TXT_000690	Гуронит
IDS_PROPMOVER_TXT_000691	
IDS_PROPMOVER_TXT_000692	Виндигго
IDS_PROPMOVER_TXT_000693	
IDS_PROPMOVER_TXT_000694	Потрошонок
IDS_PROPMOVER_TXT_000695	
IDS_PROPMOVER_TXT_000696	Руколоб
IDS_PROPMOVER_TXT_000697	
IDS_PROPMOVER_TXT_000698	Руки-крюки
IDS_PROPMOVER_TXT_000699	
IDS_PROPMOVER_TXT_000700	Шушура
IDS_PROPMOVER_TXT_000701	
IDS_PROPMOVER_TXT_000702	Бобрь
IDS_PROPMOVER_TXT_000703	
IDS_PROPMOVER_TXT_000704	Циклопион
IDS_PROPMOVER_TXT_000705	
IDS_PROPMOVER_TXT_000706	Хруст
IDS_PROPMOVER_TXT_000707	
IDS_PROPMOVER_TXT_000708	Проходимец из 'Труппы товарищей'
IDS_PROPMOVER_TXT_000709	
IDS_PROPMOVER_TXT_000710	Изумрудный богомол
IDS_PROPMOVER_TXT_000711	
IDS_PROPMOVER_TXT_000712	Новый Папаша Гром
IDS_PROPMOVER_TXT_000713	
IDS_PROPMOVER_TXT_000714	Артист труппы Лилового Фокусника
IDS_PROPMOVER_TXT_000715	
IDS_PROPMOVER_TXT_000716	Опытный артист труппы Лилового Фокусника
IDS_PROPMOVER_TXT_000717	
IDS_PROPMOVER_TXT_000718	Лидер труппы Лилового Фокусника
IDS_PROPMOVER_TXT_000719	
IDS_PROPMOVER_TXT_000720	Главарь 'Труппы товарищей'
IDS_PROPMOVER_TXT_000721	
IDS_PROPMOVER_TXT_000722	Папаша Гром
IDS_PROPMOVER_TXT_000723	
IDS_PROPMOVER_TXT_000724	Книгожор
IDS_PROPMOVER_TXT_000725	
IDS_PROPMOVER_TXT_000726	Ганмар
IDS_PROPMOVER_TXT_000727	
IDS_PROPMOVER_TXT_000728	Бригадир зомбойщиков
IDS_PROPMOVER_TXT_000729	
IDS_PROPMOVER_TXT_000730	Санта Клоунс
IDS_PROPMOVER_TXT_000731	
IDS_PROPMOVER_TXT_000732	Жрец
IDS_PROPMOVER_TXT_000733	
IDS_PROPMOVER_TXT_000734	Стражник
IDS_PROPMOVER_TXT_000735	
IDS_PROPMOVER_TXT_000736	Злодейский стражник
IDS_PROPMOVER_TXT_000737	
IDS_PROPMOVER_TXT_000738	Злодейский крыжорник
IDS_PROPMOVER_TXT_000739	
IDS_PROPMOVER_TXT_000740	Злодейский злопух
IDS_PROPMOVER_TXT_000741	
IDS_PROPMOVER_TXT_000742	Злодейский мистер Тыквер
IDS_PROPMOVER_TXT_000743	
IDS_PROPMOVER_TXT_000744	Злодейский хохотун
IDS_PROPMOVER_TXT_000745	
IDS_PROPMOVER_TXT_000746	Злодейский однорукий бандит
IDS_PROPMOVER_TXT_000747	
IDS_PROPMOVER_TXT_000748	Злодейская заводная кукла
IDS_PROPMOVER_TXT_000749	
IDS_PROPMOVER_TXT_000750	Злодейский стрелорк
IDS_PROPMOVER_TXT_000751	
IDS_PROPMOVER_TXT_000752	Злодейская лиена
IDS_PROPMOVER_TXT_000753	
IDS_PROPMOVER_TXT_000754	Злодейский стальной рыцарь
IDS_PROPMOVER_TXT_000755	
IDS_PROPMOVER_TXT_000756	Злодейский вольт
IDS_PROPMOVER_TXT_000757	
IDS_PROPMOVER_TXT_000758	Злодейский мусоробот
IDS_PROPMOVER_TXT_000759	
IDS_PROPMOVER_TXT_000760	Злодейский илий
IDS_PROPMOVER_TXT_000761	
IDS_PROPMOVER_TXT_000762	Злодейский сарранч
IDS_PROPMOVER_TXT_000763	
IDS_PROPMOVER_TXT_000764	Злодейская жужелица
IDS_PROPMOVER_TXT_000765	
IDS_PROPMOVER_TXT_000766	Злодейский Ва-танка
IDS_PROPMOVER_TXT_000767	
IDS_PROPMOVER_TXT_000768	Злодейский лавлин
IDS_PROPMOVER_TXT_000769	
IDS_PROPMOVER_TXT_000770	Злодейский сталефант
IDS_PROPMOVER_TXT_000771	
IDS_PROPMOVER_TXT_000772	Злодейский эктор
IDS_PROPMOVER_TXT_000773	
IDS_PROPMOVER_TXT_000774	Свин-шахтер
IDS_PROPMOVER_TXT_000775	
IDS_PROPMOVER_TXT_000776	Свин-охранник
IDS_PROPMOVER_TXT_000777	
IDS_PROPMOVER_TXT_000778	Свин-надсмотрщик
IDS_PROPMOVER_TXT_000779	
IDS_PROPMOVER_TXT_000780	Свин-капитан
IDS_PROPMOVER_TXT_000781	
IDS_PROPMOVER_TXT_000782	Элитный свин-шахтер
IDS_PROPMOVER_TXT_000783	
IDS_PROPMOVER_TXT_000784	Элитный свин-охранник
IDS_PROPMOVER_TXT_000785	
IDS_PROPMOVER_TXT_000786	Элитный свин-надсмотрщик
IDS_PROPMOVER_TXT_000787	
IDS_PROPMOVER_TXT_000788	Элитный свин-капитан
IDS_PROPMOVER_TXT_000789	
IDS_PROPMOVER_TXT_000790	Мутировавший свин-шахтер
IDS_PROPMOVER_TXT_000791	
IDS_PROPMOVER_TXT_000792	Мутировавший свин-охранник
IDS_PROPMOVER_TXT_000793	
IDS_PROPMOVER_TXT_000794	Мутировавший свин-надсмотрщик
IDS_PROPMOVER_TXT_000795	
IDS_PROPMOVER_TXT_000796	Мутировавший свин-капитан
IDS_PROPMOVER_TXT_000797	
IDS_PROPMOVER_TXT_000798	Розовый кукарач
IDS_PROPMOVER_TXT_000799	
IDS_PROPMOVER_TXT_000800	Синий кукарач
IDS_PROPMOVER_TXT_000801	
IDS_PROPMOVER_TXT_000802	Царица розовых кукарачей
IDS_PROPMOVER_TXT_000803	
IDS_PROPMOVER_TXT_000804	Царица синих кукарачей
IDS_PROPMOVER_TXT_000805	
IDS_PROPMOVER_TXT_000806	Розовая личинка
IDS_PROPMOVER_TXT_000807	
IDS_PROPMOVER_TXT_000808	Синяя личинка
IDS_PROPMOVER_TXT_000809	
IDS_PROPMOVER_TXT_000810	Зеленый хватоглот
IDS_PROPMOVER_TXT_000811	
IDS_PROPMOVER_TXT_000812	Опасный зеленый хватоглот
IDS_PROPMOVER_TXT_000813	
IDS_PROPMOVER_TXT_000814	Лиловый хватоглот
IDS_PROPMOVER_TXT_000815	
IDS_PROPMOVER_TXT_000816	Опасный лиловый хватоглот
IDS_PROPMOVER_TXT_000817	
IDS_PROPMOVER_TXT_000818	Кровавый хватоглот
IDS_PROPMOVER_TXT_000819	
IDS_PROPMOVER_TXT_000820	Опасный кровавый хватоглот
IDS_PROPMOVER_TXT_000821	
IDS_PROPMOVER_TXT_000822	Химерадон
IDS_PROPMOVER_TXT_000823	
IDS_PROPMOVER_TXT_000824	Громадный химерадон
IDS_PROPMOVER_TXT_000825	
IDS_PROPMOVER_TXT_000826	Метеоракон
IDS_PROPMOVER_TXT_000827	
IDS_PROPMOVER_TXT_000828	Крошка-волкопард
IDS_PROPMOVER_TXT_000829	
IDS_PROPMOVER_TXT_000830	Крошка-сглаз
IDS_PROPMOVER_TXT_000831	
IDS_PROPMOVER_TXT_000832	Крошка-лиена
IDS_PROPMOVER_TXT_000833	
IDS_PROPMOVER_TXT_000834	Крошка-лавлин
IDS_PROPMOVER_TXT_000835	
IDS_PROPMOVER_TXT_000836	Котенок
IDS_PROPMOVER_TXT_000837	
IDS_PROPMOVER_TXT_000838	Щенок
IDS_PROPMOVER_TXT_000839	
IDS_PROPMOVER_TXT_000840	Бронтопаха
IDS_PROPMOVER_TXT_000841	
IDS_PROPMOVER_TXT_000842	Молотчик
IDS_PROPMOVER_TXT_000843	
IDS_PROPMOVER_TXT_000844	Тиранотавр
IDS_PROPMOVER_TXT_000845	
IDS_PROPMOVER_TXT_000846	Кр-р
IDS_PROPMOVER_TXT_000847	
IDS_PROPMOVER_TXT_000848	Жюльен
IDS_PROPMOVER_TXT_000849	
IDS_PROPMOVER_TXT_000850	Слабый подгрызиновик
IDS_PROPMOVER_TXT_000851	
IDS_PROPMOVER_TXT_000852	Зверский зомбойщик
IDS_PROPMOVER_TXT_000853	
IDS_PROPMOVER_TXT_000854	Главнокомандующий Часонизм
IDS_PROPMOVER_TXT_000855	
IDS_PROPMOVER_TXT_000856	Бригадный генерал Громвель
IDS_PROPMOVER_TXT_000857	
IDS_PROPMOVER_TXT_000858	Генерал-лейтенант Жнец
IDS_PROPMOVER_TXT_000859	
IDS_PROPMOVER_TXT_000860	Маршал авиации Боинг
IDS_PROPMOVER_TXT_000861	
IDS_PROPMOVER_TXT_000862	Генерал Горгулакс
IDS_PROPMOVER_TXT_000863	
IDS_PROPMOVER_TXT_000864	Матушка Ольна
IDS_PROPMOVER_TXT_000865	
IDS_PROPMOVER_TXT_000866	Футбольный ангелочек
IDS_PROPMOVER_TXT_000867	
IDS_PROPMOVER_TXT_000868	Шиндлер
IDS_PROPMOVER_TXT_000869	
IDS_PROPMOVER_TXT_000870	Шакалоп
IDS_PROPMOVER_TXT_000871	
IDS_PROPMOVER_TXT_000872	Лойф Дунгрен
IDS_PROPMOVER_TXT_000873	
IDS_PROPMOVER_TXT_000874	Фуметокс
IDS_PROPMOVER_TXT_000875	
IDS_PROPMOVER_TXT_000876	Киса
IDS_PROPMOVER_TXT_000877	
IDS_PROPMOVER_TXT_000878	Ужассный каменталь
IDS_PROPMOVER_TXT_000879        	
IDS_PROPMOVER_TXT_000880	Ужассный скорпихвост
IDS_PROPMOVER_TXT_000881        	
IDS_PROPMOVER_TXT_000882	Ужассный камнетавр
IDS_PROPMOVER_TXT_000883        	
IDS_PROPMOVER_TXT_000884	Ужассный шлак
IDS_PROPMOVER_TXT_000885        	
IDS_PROPMOVER_TXT_000886	Ужассная кукла
IDS_PROPMOVER_TXT_000887        	
IDS_PROPMOVER_TXT_000888	Ужассный гробокоп
IDS_PROPMOVER_TXT_000889        	
IDS_PROPMOVER_TXT_000890	Ужассный страж
IDS_PROPMOVER_TXT_000891        	
IDS_PROPMOVER_TXT_000892	Ужассный сотрясатель
IDS_PROPMOVER_TXT_000893        	
IDS_PROPMOVER_TXT_000894	Ужассный илий
IDS_PROPMOVER_TXT_000895        	
IDS_PROPMOVER_TXT_000896	Черно-белый Ужосс
IDS_PROPMOVER_TXT_000897        	
IDS_PROPMOVER_TXT_000898	Ужассное идолище
IDS_PROPMOVER_TXT_000899        	
IDS_PROPMOVER_TXT_000900	Ужассный истукан
IDS_PROPMOVER_TXT_000901        	
IDS_PROPMOVER_TXT_000902	Ужассный хохотун
IDS_PROPMOVER_TXT_000903	
IDS_PROPMOVER_TXT_000904	Ужассный паяц
IDS_PROPMOVER_TXT_000905	
IDS_PROPMOVER_TXT_000906	Читос
IDS_PROPMOVER_TXT_000907	
IDS_PROPMOVER_TXT_000908	Миничас
IDS_PROPMOVER_TXT_000909	
IDS_PROPMOVER_TXT_000910	Слабый химерадон
IDS_PROPMOVER_TXT_000911	
IDS_PROPMOVER_TXT_000912	Химерадон
IDS_PROPMOVER_TXT_000913	
IDS_PROPMOVER_TXT_000914	Сильный химерадон
IDS_PROPMOVER_TXT_000915	
IDS_PROPMOVER_TXT_000916	Громадный химерадон
IDS_PROPMOVER_TXT_000917	
IDS_PROPMOVER_TXT_000918	Исполинский химерадон
IDS_PROPMOVER_TXT_000919	
IDS_PROPMOVER_TXT_000920	Слабый грызли
IDS_PROPMOVER_TXT_000921	
IDS_PROPMOVER_TXT_000922	Грызли
IDS_PROPMOVER_TXT_000923	
IDS_PROPMOVER_TXT_000924	Сильный грызли
IDS_PROPMOVER_TXT_000925	
IDS_PROPMOVER_TXT_000926	Громадный грызли
IDS_PROPMOVER_TXT_000927	
IDS_PROPMOVER_TXT_000928	Исполинский грызли
IDS_PROPMOVER_TXT_000929	
IDS_PROPMOVER_TXT_000930	Маэстро Кромсатти
IDS_PROPMOVER_TXT_000931	
IDS_PROPMOVER_TXT_000932	Клоунесса
IDS_PROPMOVER_TXT_000933	
IDS_PROPMOVER_TXT_000934	Белый мишка
IDS_PROPMOVER_TXT_000935	
IDS_PROPMOVER_TXT_000936	Белый медведь
IDS_PROPMOVER_TXT_000937	
IDS_PROPMOVER_TXT_000938	Красная феечка
IDS_PROPMOVER_TXT_000939	
IDS_PROPMOVER_TXT_000940	Синяя феечка
IDS_PROPMOVER_TXT_000941	
IDS_PROPMOVER_TXT_000942	Зеленая феечка
IDS_PROPMOVER_TXT_000943	
IDS_PROPMOVER_TXT_000944	Белая феечка
IDS_PROPMOVER_TXT_000945	
IDS_PROPMOVER_TXT_000946	Почтовый ящик
IDS_PROPMOVER_TXT_000947	
IDS_PROPMOVER_TXT_000948	Красный метеоракон
IDS_PROPMOVER_TXT_000949	
IDS_PROPMOVER_TXT_000950	Синий метеоракон
IDS_PROPMOVER_TXT_000951	
IDS_PROPMOVER_TXT_000952	Зеленый метеоракон
IDS_PROPMOVER_TXT_000953	
IDS_PROPMOVER_TXT_000954	Пингвиненок
IDS_PROPMOVER_TXT_000955	
IDS_PROPMOVER_TXT_000956	Крошка-игуана
IDS_PROPMOVER_TXT_000957	
IDS_PROPMOVER_TXT_000958	Крошка-кобра
IDS_PROPMOVER_TXT_000959	
IDS_PROPMOVER_TXT_000960	Яйцо
IDS_PROPMOVER_TXT_000961	
IDS_PROPMOVER_TXT_000962	Белый тигр
IDS_PROPMOVER_TXT_000963	
IDS_PROPMOVER_TXT_000964	Белый тигр
IDS_PROPMOVER_TXT_000965	
IDS_PROPMOVER_TXT_000966	Берберский лев
IDS_PROPMOVER_TXT_000967	
IDS_PROPMOVER_TXT_000968	Берберский лев
IDS_PROPMOVER_TXT_000969	
IDS_PROPMOVER_TXT_000970	Кролик
IDS_PROPMOVER_TXT_000971	
IDS_PROPMOVER_TXT_000972	Кролик
IDS_PROPMOVER_TXT_000973	
IDS_PROPMOVER_TXT_000974	Дракон
IDS_PROPMOVER_TXT_000975	
IDS_PROPMOVER_TXT_000976	Дракон
IDS_PROPMOVER_TXT_000977	
IDS_PROPMOVER_TXT_000978	Единорог
IDS_PROPMOVER_TXT_000979	
IDS_PROPMOVER_TXT_000980	Единорог
IDS_PROPMOVER_TXT_000981	
IDS_PROPMOVER_TXT_000982	Умный лис
IDS_PROPMOVER_TXT_000983	
IDS_PROPMOVER_TXT_000984	Умный лис
IDS_PROPMOVER_TXT_000985	
IDS_PROPMOVER_TXT_000986	Грифон
IDS_PROPMOVER_TXT_000987	
IDS_PROPMOVER_TXT_000988	Грифон
IDS_PROPMOVER_TXT_000989	
IDS_PROPMOVER_TXT_000990	Оскалибур
IDS_PROPMOVER_TXT_000991	
IDS_PROPMOVER_TXT_000992	Таинственный привратник
IDS_PROPMOVER_TXT_000993	
IDS_PROPMOVER_TXT_000994	Таинственная незнакомка
IDS_PROPMOVER_TXT_000995	
IDS_PROPMOVER_TXT_000996	Игрок
IDS_PROPMOVER_TXT_000997	
IDS_PROPMOVER_TXT_000998	Парикмахер
IDS_PROPMOVER_TXT_000999	
IDS_PROPMOVER_TXT_001000	Визажист
IDS_PROPMOVER_TXT_001001	
IDS_PROPMOVER_TXT_001002	Укротитель
IDS_PROPMOVER_TXT_001003	
IDS_PROPMOVER_TXT_001004	Танцор
IDS_PROPMOVER_TXT_001005	
IDS_PROPMOVER_TXT_001006	Мисс Мадригал
IDS_PROPMOVER_TXT_001007	
IDS_PROPMOVER_TXT_001008	Мистер Мадригал
IDS_PROPMOVER_TXT_001009	
IDS_PROPMOVER_TXT_001010	Черный тигр
IDS_PROPMOVER_TXT_001011	
IDS_PROPMOVER_TXT_001012	Огненный лев
IDS_PROPMOVER_TXT_001013	
IDS_PROPMOVER_TXT_001014	Лиловый кролик
IDS_PROPMOVER_TXT_001015	
IDS_PROPMOVER_TXT_001016	Черный дракон
IDS_PROPMOVER_TXT_001017	
IDS_PROPMOVER_TXT_001018	Огненный единорог
IDS_PROPMOVER_TXT_001019	
IDS_PROPMOVER_TXT_001020	Снежный лис
IDS_PROPMOVER_TXT_001021	
IDS_PROPMOVER_TXT_001022	Огненный грифон
IDS_PROPMOVER_TXT_001023	
IDS_PROPMOVER_TXT_001024	Лягушонок
IDS_PROPMOVER_TXT_001025	
IDS_PROPMOVER_TXT_001026	Крошка-бургер
IDS_PROPMOVER_TXT_001027	
IDS_PROPMOVER_TXT_001028	Черепашка
IDS_PROPMOVER_TXT_001029	
IDS_PROPMOVER_TXT_001030	Падре Кармаччи
IDS_PROPMOVER_TXT_001031	
IDS_PROPMOVER_TXT_001032	Таинственный привратник
IDS_PROPMOVER_TXT_001033	
IDS_PROPMOVER_TXT_001034	Цыпленок
IDS_PROPMOVER_TXT_001035	
IDS_PROPMOVER_TXT_001036	Теленок
IDS_PROPMOVER_TXT_001037	
IDS_PROPMOVER_TXT_001038	Щенок бигля
IDS_PROPMOVER_TXT_001039	
IDS_PROPMOVER_TXT_001040	Синий дракончик
IDS_PROPMOVER_TXT_001041	
IDS_PROPMOVER_TXT_001042	Хомячок
IDS_PROPMOVER_TXT_001043	
IDS_PROPMOVER_TXT_001044	Жеребенок
IDS_PROPMOVER_TXT_001045	
IDS_PROPMOVER_TXT_001046	Обезьянка
IDS_PROPMOVER_TXT_001047	
IDS_PROPMOVER_TXT_001048	Поросенок
IDS_PROPMOVER_TXT_001049	
IDS_PROPMOVER_TXT_001050	Крольчонок
IDS_PROPMOVER_TXT_001051	
IDS_PROPMOVER_TXT_001052	Ягненок
IDS_PROPMOVER_TXT_001053	
IDS_PROPMOVER_TXT_001054	Тигренок
IDS_PROPMOVER_TXT_001055	
IDS_PROPMOVER_TXT_001056	Йети
IDS_PROPMOVER_TXT_001057	
IDS_PROPMOVER_TXT_001058	Йети-мутант
IDS_PROPMOVER_TXT_001059	
IDS_PROPMOVER_TXT_001060	Угушка
IDS_PROPMOVER_TXT_001061	
IDS_PROPMOVER_TXT_001062	Угушка-мутант
IDS_PROPMOVER_TXT_001063	
IDS_PROPMOVER_TXT_001064	Костяной принц
IDS_PROPMOVER_TXT_001065	
IDS_PROPMOVER_TXT_001066	Костяной король
IDS_PROPMOVER_TXT_001067	
IDS_PROPMOVER_TXT_001068	Монти
IDS_PROPMOVER_TXT_001069	
IDS_PROPMOVER_TXT_001070	Мамонт
IDS_PROPMOVER_TXT_001071	
IDS_PROPMOVER_TXT_001072	Мамонт-каннибал
IDS_PROPMOVER_TXT_001073	
IDS_PROPMOVER_TXT_001074	Мусорщик
IDS_PROPMOVER_TXT_001075	
IDS_PROPMOVER_TXT_001076	Маленькая заводная кукла
IDS_PROPMOVER_TXT_001077	
IDS_PROPMOVER_TXT_001078	Крошка-Миа
IDS_PROPMOVER_TXT_001079	
IDS_PROPMOVER_TXT_001080	Черный дракончик
IDS_PROPMOVER_TXT_001081	
IDS_PROPMOVER_TXT_001082	Неуязвимый Гром
IDS_PROPMOVER_TXT_001083	
IDS_PROPMOVER_TXT_001084	Неуязвимый сглаз
IDS_PROPMOVER_TXT_001085	
IDS_PROPMOVER_TXT_001086	Громолут
IDS_PROPMOVER_TXT_001087	
IDS_PROPMOVER_TXT_001088	Часолут
IDS_PROPMOVER_TXT_001089	
IDS_PROPMOVER_TXT_001090	Цель
IDS_PROPMOVER_TXT_001091	
IDS_PROPMOVER_TXT_001092	Слабая чупаката
IDS_PROPMOVER_TXT_001093	
IDS_PROPMOVER_TXT_001094	Чупаката
IDS_PROPMOVER_TXT_001095	
IDS_PROPMOVER_TXT_001096	Сильная чупаката
IDS_PROPMOVER_TXT_001097	
IDS_PROPMOVER_TXT_001098	Громадная чупаката
IDS_PROPMOVER_TXT_001099	
IDS_PROPMOVER_TXT_001100	Слабая гарпия
IDS_PROPMOVER_TXT_001101	
IDS_PROPMOVER_TXT_001102	Гарпия
IDS_PROPMOVER_TXT_001103	
IDS_PROPMOVER_TXT_001104	Сильная гарпия
IDS_PROPMOVER_TXT_001105	
IDS_PROPMOVER_TXT_001106	Громадная гарпия
IDS_PROPMOVER_TXT_001107	
IDS_PROPMOVER_TXT_001108	Слабый голиах
IDS_PROPMOVER_TXT_001109	
IDS_PROPMOVER_TXT_001110	Голиах
IDS_PROPMOVER_TXT_001111	
IDS_PROPMOVER_TXT_001112	Сильный голиах
IDS_PROPMOVER_TXT_001113	
IDS_PROPMOVER_TXT_001114	Громадный голиах
IDS_PROPMOVER_TXT_001115	
IDS_PROPMOVER_TXT_001116	Слабый аспид
IDS_PROPMOVER_TXT_001117	
IDS_PROPMOVER_TXT_001118	Аспид
IDS_PROPMOVER_TXT_001119	
IDS_PROPMOVER_TXT_001120	Сильный аспид
IDS_PROPMOVER_TXT_001121	
IDS_PROPMOVER_TXT_001122	Гигантский аспид
IDS_PROPMOVER_TXT_001123	
IDS_PROPMOVER_TXT_001124	Слабая карга
IDS_PROPMOVER_TXT_001125	
IDS_PROPMOVER_TXT_001126	Карга
IDS_PROPMOVER_TXT_001127	
IDS_PROPMOVER_TXT_001128	Сильная карга
IDS_PROPMOVER_TXT_001129	
IDS_PROPMOVER_TXT_001130	Гигантская карга
IDS_PROPMOVER_TXT_001131	
IDS_PROPMOVER_TXT_001132	Слабый птиций
IDS_PROPMOVER_TXT_001133	
IDS_PROPMOVER_TXT_001134	Птиций
IDS_PROPMOVER_TXT_001135	
IDS_PROPMOVER_TXT_001136	Сильный птиций
IDS_PROPMOVER_TXT_001137	
IDS_PROPMOVER_TXT_001138	Гигантский птиций
IDS_PROPMOVER_TXT_001139	
IDS_PROPMOVER_TXT_001140	Слабый таурон
IDS_PROPMOVER_TXT_001141	
IDS_PROPMOVER_TXT_001142	Таурон
IDS_PROPMOVER_TXT_001143	
IDS_PROPMOVER_TXT_001144	Сильный таурон
IDS_PROPMOVER_TXT_001145	
IDS_PROPMOVER_TXT_001146	Громадный таурон
IDS_PROPMOVER_TXT_001147	
IDS_PROPMOVER_TXT_001148	Слабый безднарь
IDS_PROPMOVER_TXT_001149	
IDS_PROPMOVER_TXT_001150	Безднарь
IDS_PROPMOVER_TXT_001151	
IDS_PROPMOVER_TXT_001152	Сильный безднарь
IDS_PROPMOVER_TXT_001153	
IDS_PROPMOVER_TXT_001154	Громадный безднарь
IDS_PROPMOVER_TXT_001155	
IDS_PROPMOVER_TXT_001156	Слабый слонций
IDS_PROPMOVER_TXT_001157	
IDS_PROPMOVER_TXT_001158	Слонций
IDS_PROPMOVER_TXT_001159	
IDS_PROPMOVER_TXT_001160	Сильный слонций
IDS_PROPMOVER_TXT_001161	
IDS_PROPMOVER_TXT_001162	Громадный слонций
IDS_PROPMOVER_TXT_001163	
IDS_PROPMOVER_TXT_001164	Слабый арахнотрон
IDS_PROPMOVER_TXT_001165	
IDS_PROPMOVER_TXT_001166	Арахнотрон
IDS_PROPMOVER_TXT_001167	
IDS_PROPMOVER_TXT_001168	Сильный арахнотрон
IDS_PROPMOVER_TXT_001169	
IDS_PROPMOVER_TXT_001170	Громадный арахнотрон
IDS_PROPMOVER_TXT_001171	
