IDS_PROPSKILL_TXT_000000	크린히트
IDS_PROPSKILL_TXT_000357	요요 무기 착용시 공격력이 상승 됩니다.
IDS_PROPSKILL_TXT_000358	스페셜 보우 마스터리
IDS_PROPSKILL_TXT_000359	보우 무기 착용시 공격력이 상승 됩니다.
IDS_PROPSKILL_TXT_000360	스페셜 지능 마스터리
IDS_PROPSKILL_TXT_000361	자신의 지능을 상승 시킵니다.
IDS_PROPSKILL_TXT_000362	스페셜 지능 마스터리
IDS_PROPSKILL_TXT_000363	자신의 지능을 상승 시킵니다.
IDS_PROPSKILL_TXT_000364	스페셜 너클 마스터리
IDS_PROPSKILL_TXT_000365	너클 무기 착용시 공격력이 상승 됩니다.
IDS_PROPSKILL_TXT_000366	현자의 축복
IDS_PROPSKILL_TXT_000367	일정 확률로 파티원의 디버프를 제거 합니다.
IDS_PROPSKILL_TXT_000368	퀵 스텝(이벤트용)
IDS_PROPSKILL_TXT_000369	대상의 이동속도를 상승시킵니다.
IDS_PROPSKILL_TXT_000370	헤이스트(이벤트용)
IDS_PROPSKILL_TXT_000371	대상의 공격속도를 상승시킵니다.
IDS_PROPSKILL_TXT_000372	힙업(이벤트용)
IDS_PROPSKILL_TXT_000373	대상의 체력을 상승시킵니다.
IDS_PROPSKILL_TXT_000374	어큐러시(이벤트용)
IDS_PROPSKILL_TXT_000375	대상의 명중률을 상승시킵니다.
IDS_PROPSKILL_TXT_000376	템플러 풀링
IDS_PROPSKILL_TXT_000377	대상을 자신 앞으로 이동 시키며 어그로 수치를 증폭시킨다. 단 어그로 수치는 어그로 관련 몬스터에게만 적용
IDS_PROPSKILL_TXT_000378	그랜드 레이지
IDS_PROPSKILL_TXT_000379	대상에게 큰 피해를 준다
IDS_PROPSKILL_TXT_000380	쉴드 스트라이크
IDS_PROPSKILL_TXT_000381	대상을 방패로 타격하며, 일정확률로 스턴 상태로 만든다.
IDS_PROPSKILL_TXT_000382	적대치 증폭
IDS_PROPSKILL_TXT_000383	대상에게 분노를 유발하여 어그로 수치를 상승시킨다. 단 어그로 관련 몬스터에게만 적용 됨
IDS_PROPSKILL_TXT_000384	홀리 아머
IDS_PROPSKILL_TXT_000385	시전자의 방어력이 5분간 대폭 상승한다.
IDS_PROPSKILL_TXT_000386	스코프 스트라이크
IDS_PROPSKILL_TXT_000387	시전자 주변 모든 적에게 데미지를 입힌다.
IDS_PROPSKILL_TXT_000388	크로스 오브 블러드
IDS_PROPSKILL_TXT_000389	선택 된 대상에게 큰 데미지를 준다.
IDS_PROPSKILL_TXT_000390	스톰 블레스트
IDS_PROPSKILL_TXT_000391	시전자 주변 다수에게 데미지를 입힌다.
IDS_PROPSKILL_TXT_000392	파워 인크리즈
IDS_PROPSKILL_TXT_000393	시전자의 공격력이 5분간 대폭 상승한다.
IDS_PROPSKILL_TXT_000394	매드 허리케인
IDS_PROPSKILL_TXT_000395	대상에게 큰 피해를 준다
IDS_PROPSKILL_TXT_000396	이베이젼 인크리즈
IDS_PROPSKILL_TXT_000397	시전자의 블럭율이 5분간 상승한다.
IDS_PROPSKILL_TXT_000398	컨트롤 인크리즈
IDS_PROPSKILL_TXT_000399	시전자의 명중률이 5분간 상승한다.
IDS_PROPSKILL_TXT_000400	백 스텝 II
IDS_PROPSKILL_TXT_000401	상대의 뒤로 순간 이동하여 기습적으로 공격한다.
IDS_PROPSKILL_TXT_000402	레인지 스트라이크
IDS_PROPSKILL_TXT_000403	대상 주변 모두에게 데미지를 입힌다.
IDS_PROPSKILL_TXT_000404	파워 인크리즈
IDS_PROPSKILL_TXT_000405	시전자의 공격력이 5분간 대폭 상승한다.
IDS_PROPSKILL_TXT_000406	컨트롤 인크리즈
IDS_PROPSKILL_TXT_000407	시전자의 명중률이 5분간 상승한다.
IDS_PROPSKILL_TXT_000408	호크 아이
IDS_PROPSKILL_TXT_000409	시전자의 활 사거리가 증가한다.
IDS_PROPSKILL_TXT_000410	회생의 기도
IDS_PROPSKILL_TXT_000411	극단일 경우에만 사용이 가능하며 극단원의 HP를 지속적으로 회복시킨다.
IDS_PROPSKILL_TXT_000412	블레시드 스텝
IDS_PROPSKILL_TXT_000413	극단일 경우에만 사용이 가능하며 극단원의 이동속도를 5분간 증가 시킨다.
IDS_PROPSKILL_TXT_000414	블레시드 바디
IDS_PROPSKILL_TXT_000415	극단일 경우에만 사용이 가능하며 극단원의 최대 HP를 5분 동안 증가 시킨다.
IDS_PROPSKILL_TXT_000416	블레시드 아머
IDS_PROPSKILL_TXT_000417	극단일 경우에만 사용이 가능하며 극단원의 물리 방어력을 5분동안 증가 시킨다.
IDS_PROPSKILL_TXT_000418	앱솔루트 베리어
IDS_PROPSKILL_TXT_000419	대인전시에만 자기 자신에게 5분간 일정한 데미지를 방어할 수 있는 보호막을 형성시켜 준다. 이 보호막은 몬스터에게는 적용되지 않는다.
IDS_PROPSKILL_TXT_000420	패터스
IDS_PROPSKILL_TXT_000421	대상을 일정 시간동안 이동 불가능하게 만듭니다.
IDS_PROPSKILL_TXT_000422	집념의 오로라
IDS_PROPSKILL_TXT_000423	극단원 또는 자신에게 사용이 가능하며 시전 시간동안 주변 극단원 또는 자신의 마법 공격력을 상승 시켜준다.
IDS_PROPSKILL_TXT_000424	분노의 오로라
IDS_PROPSKILL_TXT_000425	극단원 또는 자신에게 사용이 가능하며 시전 시간동안 주변 극단원 또는 자신의 공격력을 상승 시켜준다.
IDS_PROPSKILL_TXT_000426	광속의 오로라
IDS_PROPSKILL_TXT_000427	극단원 또는 자신에게 사용이 가능하며 시전 시간동안 주변 극단원 또는 자신의 공격속도를 상승 시켜준다.
IDS_PROPSKILL_TXT_000428	광기의 오로라
IDS_PROPSKILL_TXT_000429	극단원 또는 자신에게 사용이 가능하며 시전 시간동안 주변 극단원 또는 자신의 치명타확률을 상승 시켜준다.
IDS_PROPSKILL_TXT_000430	공포의 절규
IDS_PROPSKILL_TXT_000431	대상에게 일정 시간동안 지속적인 데미지를 입힌다.
IDS_PROPSKILL_TXT_000432	다크니스 레이크
IDS_PROPSKILL_TXT_000433	대상에게 큰 피해를 준다.
IDS_PROPSKILL_TXT_000434	어택 디크리스
IDS_PROPSKILL_TXT_000435	선택 된 대상의 공격력을 감소 시킨다.
IDS_PROPSKILL_TXT_000436	디팬더 디크리스
IDS_PROPSKILL_TXT_000437	선택 된 대상의 방어력을 감소시킨다.
IDS_PROPSKILL_TXT_000438	스피드 디크리스
IDS_PROPSKILL_TXT_000439	선택된 대상의 공격속도를 감소 시킨다.
IDS_PROPSKILL_TXT_000440	썬더 볼트
IDS_PROPSKILL_TXT_000441	시전자 주변의 모두에게 데미지를 입힌다.
IDS_PROPSKILL_TXT_000442	파이널 스피어
IDS_PROPSKILL_TXT_000443	원소를 이용해 창을 만들어 적에게 날려 데미지를 입힌다.
IDS_PROPSKILL_TXT_000444	코스믹 엘리멘트
IDS_PROPSKILL_TXT_000445	원소를 집합시켜 대상에게 날려 데미지를 입힌다.
IDS_PROPSKILL_TXT_000446	슬리핑
IDS_PROPSKILL_TXT_000447	대상을 수 초간 잠재운다.
IDS_PROPSKILL_TXT_000448	홀딩 스톰
IDS_PROPSKILL_TXT_000449	단일 대상에 대한 이동을 불가능하게 한다.
IDS_PROPSKILL_TXT_000450	고대 문자석_시겔
IDS_PROPSKILL_TXT_000451	일정 확률로 한방에 적 제적
IDS_PROPSKILL_TXT_000452	고대 문자석_베르크
IDS_PROPSKILL_TXT_000453	일정 확률로 자신의 HP가 100% 회복된다.
IDS_PROPSKILL_TXT_000454	고대 문자석_제라
IDS_PROPSKILL_TXT_000455	일정 확률로 자신의 FP가 100% 회복된다.
IDS_PROPSKILL_TXT_000456	고대 문자석_마나즈
IDS_PROPSKILL_TXT_000457	일정 확률로 자신의 MP가 100% 회복된다.
IDS_PROPSKILL_TXT_000458	고대 문자석_에오
IDS_PROPSKILL_TXT_000459	일정 확률로 독에 중독 시킨다.
IDS_PROPSKILL_TXT_000460	고대 문자석_티르
IDS_PROPSKILL_TXT_000461	일정 확률로 상대방에게 상처를 입힌다.

